date,match,box_score_url,div
01/02/2025,"Brandon (CAN) (na) vs CUI (MPSF) [2-3] (22-25, 25-27, 25-23, 25-21, 11-15)",https://stats.ncaa.org/contests/6083802/box_score,D-I
01/03/2025,"BYU (MPSF) vs Ohio St. (MIVA) [3-1] (19-25, 25-20, 25-18, 25-18)",https://stats.ncaa.org/contests/6083804/box_score,D-I
01/03/2025,"Wabash (MCVL) vs Ball St. (MIVA) [0-3] (16-25, 14-25, 21-25)",https://stats.ncaa.org/contests/6300482/box_score,D-III
01/03/2025,"McKendree (MIVA) vs Hawaii (Big West) [1-3] (20-25, 25-20, 22-25, 22-25)",https://stats.ncaa.org/contests/6083805/box_score,D-I
01/03/2025,"Wabash (MCVL) vs Ball St. (MIVA) [0-3] (16-25, 14-25, 21-25)",https://stats.ncaa.org/contests/6300482/box_score,D-I
01/04/2025,"UC Santa Cruz (DIII Independent) vs Menlo (MPSF) [1-3] (14-25, 17-25, 26-24, 20-25)",https://stats.ncaa.org/contests/6300494/box_score,D-III
01/04/2025,"UC Santa Cruz (DIII Independent) vs Menlo (MPSF) [1-3] (14-25, 17-25, 26-24, 20-25)",https://stats.ncaa.org/contests/6300494/box_score,D-I
01/04/2025,"BYU (MPSF) vs Ohio St. (MIVA) [3-1] (29-27, 23-25, 25-15, 25-17)",https://stats.ncaa.org/contests/6083807/box_score,D-I
01/05/2025,"Trine (MCVL) vs Ball St. (MIVA) [0-3] (13-25, 13-25, 13-25)",https://stats.ncaa.org/contests/6300483/box_score,D-III
01/05/2025,"Trine (MCVL) vs Ball St. (MIVA) [0-3] (13-25, 13-25, 13-25)",https://stats.ncaa.org/contests/6300483/box_score,D-I
01/05/2025,"McKendree (MIVA) vs Hawaii (Big West) [0-3] (20-25, 19-25, 16-25)",https://stats.ncaa.org/contests/6083809/box_score,D-I
01/07/2025,"Catawba (na) vs Charleston (WV) (EIVA) [0-3] (19-25, 17-25, 18-25)",https://stats.ncaa.org/contests/6083811/box_score,D-I
01/07/2025,"McKendree (MIVA) vs UC San Diego (Big West) [0-3] (21-25, 22-25, 22-25)",https://stats.ncaa.org/contests/6083810/box_score,D-I
01/08/2025,"Harvard (EIVA) vs Hawaii (Big West) [0-3] (18-25, 17-25, 20-25)",https://stats.ncaa.org/contests/6083815/box_score,D-I
01/08/2025,"Roberts Wesleyan (ECC) vs Central St. (OH) (SIAC) [3-0] (25-20, 25-16, 25-23)",https://stats.ncaa.org/contests/6083813/box_score,D-I
01/08/2025,"Saint Francis (NEC) vs UC San Diego (Big West) [0-3] (20-25, 20-25, 16-25)",https://stats.ncaa.org/contests/6083814/box_score,D-I
01/08/2025,"LOVB Salt Lake vs LOVB Atlanta [3-1] (25-22, 27-25, 21-25, 25-21)",https://widgets.volleystation.com/team-stats/2161068,Pro Women
01/08/2025,"Merrimack (NEC) vs CUI (MPSF) [1-3] (17-25, 25-20, 17-25, 21-25)",https://stats.ncaa.org/contests/6083816/box_score,D-I
01/08/2025,"Catawba (na) vs King (TN) (Conference Carolinas) [3-1] (23-25, 25-23, 25-19, 25-23)",https://stats.ncaa.org/contests/6083817/box_score,D-I
01/09/2025,"Tusculum (DI Independent) vs CSUN (Big West) [0-3] (14-25, 18-25, 20-25)",https://stats.ncaa.org/contests/6083820/box_score,D-I
01/09/2025,"Erskine (Conference Carolinas) vs Barry (DI Independent) [2-3] (24-26, 27-29, 25-14, 25-17, 13-15)",https://stats.ncaa.org/contests/6083821/box_score,D-I
01/09/2025,"Daemen (NEC) vs Southern California (MPSF) [1-3] (25-19, 23-25, 20-25, 14-25)",https://stats.ncaa.org/contests/6083822/box_score,D-I
01/09/2025,"Merrimack (NEC) vs Vanguard (na) [0-3] (23-25, 23-25, 21-25)",https://stats.ncaa.org/contests/6083824/box_score,D-I
01/09/2025,"Lincoln Memorial (DI Independent) vs North Greenville (Conference Carolinas) [3-1] (20-25, 25-14, 25-14, 25-19)",https://stats.ncaa.org/contests/6083825/box_score,D-I
01/09/2025,"Missouri S&T (DI Independent) vs UC Santa Barbara (Big West) [0-3] (29-31, 21-25, 24-26)",https://stats.ncaa.org/contests/6083819/box_score,D-I
01/09/2025,"Menlo (MPSF) vs UC Irvine (Big West) [0-3] (14-25, 10-25, 21-25)",https://stats.ncaa.org/contests/6083826/box_score,D-I
01/09/2025,"San Diego Mojo vs Orlando Valkyries [0-3] (18-25, 18-25, 22-25)",https://widgets.volleystation.com/team-stats/2160916,Pro Women
01/09/2025,"LOVB Houston vs LOVB Austin [3-2] (25-27, 24-26, 25-22, 27-25, 16-14)",https://widgets.volleystation.com/team-stats/2161288,Pro Women
01/09/2025,"Roberts Wesleyan (ECC) vs Thomas More (DI Independent) [3-1] (25-20, 25-22, 21-25, 25-17)",https://stats.ncaa.org/contests/6083818/box_score,D-I
01/10/2025,"Lincoln Memorial (DI Independent) vs Belmont Abbey (Conference Carolinas) [3-1] (23-25, 25-15, 25-16, 25-21)",https://stats.ncaa.org/contests/6083840/box_score,D-I
01/10/2025,"Grand Canyon (MPSF) vs NJIT (EIVA) [3-1] (25-21, 25-27, 25-20, 25-20)",https://stats.ncaa.org/contests/6083841/box_score,D-I
01/10/2025,"Saint Francis (NEC) vs UCLA (MPSF) [0-3] (15-25, 19-25, 20-25)",https://stats.ncaa.org/contests/6083843/box_score,D-I
01/10/2025,"Missouri S&T (DI Independent) vs CSUN (Big West) [0-3] (18-25, 20-25, 20-25)",https://stats.ncaa.org/contests/6083844/box_score,D-I
01/10/2025,"Saint Francis (NEC) vs Long Beach St. (Big West) [0-3] (13-25, 15-25, 12-25)",https://stats.ncaa.org/contests/6311863/box_score,D-I
01/10/2025,"Wis. Lutheran (NACC) vs UC Santa Cruz (DIII Independent) [0-3] (17-25, 18-25, 21-25)",https://stats.ncaa.org/contests/6081558/box_score,D-III
01/10/2025,"St. John Fisher (UVC) vs Trine (MCVL) [3-0] (25-12, 25-16, 25-18)",https://stats.ncaa.org/contests/6081557/box_score,D-III
01/10/2025,"Calvin (MCVL) vs Cal Lutheran (DIII Independent) [0-3] (14-25, 14-25, 11-25)",https://stats.ncaa.org/contests/6081549/box_score,D-III
01/10/2025,"Thiel (PAC) vs Concordia Chicago (NACC) [3-2] (25-17, 20-25, 25-22, 23-25, 15-12)",https://stats.ncaa.org/contests/6081550/box_score,D-III
01/10/2025,"St. Norbert (NACC) vs Carthage (CCIW) [0-3] (16-25, 15-25, 25-27)",https://stats.ncaa.org/contests/6081555/box_score,D-III
01/10/2025,"Wis. Lutheran (NACC) vs Mount Union (MCVL) [1-3] (22-25, 17-25, 25-18, 18-25)",https://stats.ncaa.org/contests/6081554/box_score,D-III
01/10/2025,"Mount Union (MCVL) vs Cal Lutheran (DIII Independent) [3-2] (13-25, 21-25, 25-18, 26-24, 15-11)",https://stats.ncaa.org/contests/6081553/box_score,D-III
01/10/2025,"Mt. St. Joseph (MCVL) vs Lancaster Bible (United East) [0-3] (21-25, 24-26, 16-25)",https://stats.ncaa.org/contests/6081552/box_score,D-III
01/10/2025,"Lakeland (NACC) vs Carthage (CCIW) [0-3] (21-25, 9-25, 15-25)",https://stats.ncaa.org/contests/6081551/box_score,D-III
01/10/2025,"Roanoke (ODAC) vs Wittenberg (MCVL) [0-3] (19-25, 17-25, 13-25)",https://stats.ncaa.org/contests/6081556/box_score,D-III
01/10/2025,"Maryville (MO) (DI Independent) vs Lewis (MIVA) [0-3] (19-25, 22-25, 22-25)",https://stats.ncaa.org/contests/6083839/box_score,D-I
01/10/2025,"Penn St. (EIVA) vs Loyola Chicago (MIVA) [1-3] (17-25, 25-22, 20-25, 21-25)",https://stats.ncaa.org/contests/6083835/box_score,D-I
01/10/2025,"Central St. (OH) (SIAC) vs Purdue Fort Wayne (MIVA) [1-3] (18-25, 25-23, 14-25, 20-25)",https://stats.ncaa.org/contests/6083837/box_score,D-I
01/10/2025,"Harvard (EIVA) vs Hawaii (Big West) [2-3] (17-25, 27-25, 15-25, 25-21, 14-16)",https://stats.ncaa.org/contests/6083836/box_score,D-I
01/10/2025,"Atlanta Vibe vs Omaha Supernovas [2-3] (25-22, 19-25, 25-22, 22-25, 13-15)",https://widgets.volleystation.com/team-stats/2160917,Pro Women
01/10/2025,"Daemen (NEC) vs UC San Diego (Big West) [0-3] (18-25, 15-25, 20-25)",https://stats.ncaa.org/contests/6083834/box_score,D-I
01/10/2025,"Fort Valley St. (SIAC) vs Ohio St. (MIVA) [0-3] (24-26, 22-25, 22-25)",https://stats.ncaa.org/contests/6083833/box_score,D-I
01/10/2025,"Vegas Thrill vs Grand Rapids Rise [3-2] (20-25, 20-25, 25-22, 25-21, 16-14)",https://widgets.volleystation.com/team-stats/2160918,Pro Women
01/10/2025,"Barton (Conference Carolinas) vs Barry (DI Independent) [0-3] (23-25, 24-26, 20-25)",https://stats.ncaa.org/contests/6083832/box_score,D-I
01/10/2025,"Ball St. (MIVA) vs Stanford (MPSF) [3-0] (25-22, 26-24, 25-16)",https://stats.ncaa.org/contests/6083831/box_score,D-I
01/10/2025,"St. Thomas Aquinas (ECC) vs BYU (MPSF) [0-3] (11-25, 14-25, 21-25)",https://stats.ncaa.org/contests/6083838/box_score,D-I
01/10/2025,"LOVB Austin vs LOVB Madison [3-0] (25-21, 25-23, 25-18)",https://widgets.volleystation.com/team-stats/2161289,Pro Women
01/10/2025,"Rockhurst (na) vs Lindenwood (MIVA) [0-3] (19-25, 23-25, 21-25)",https://stats.ncaa.org/contests/6083830/box_score,D-I
01/10/2025,"Tusculum (DI Independent) vs UC Irvine (Big West) [0-3] (12-25, 14-25, 14-25)",https://stats.ncaa.org/contests/6083827/box_score,D-I
01/10/2025,"Menlo (MPSF) vs UC Santa Barbara (Big West) [1-3] (25-22, 23-25, 12-25, 13-25)",https://stats.ncaa.org/contests/6083829/box_score,D-I
01/11/2025,"Misericordia (Middle Atlantic) vs Buffalo St. (AMCC) [3-1] (25-11, 26-28, 25-23, 25-17)",https://stats.ncaa.org/contests/6081564/box_score,D-III
01/11/2025,"Buffalo St. (AMCC) vs Hobart (UVC) [0-3] (24-26, 13-25, 22-25)",https://stats.ncaa.org/contests/6081582/box_score,D-III
01/11/2025,"Calvin (MCVL) vs Wis. Lutheran (NACC) [1-3] (25-20, 23-25, 24-26, 22-25)",https://stats.ncaa.org/contests/6081583/box_score,D-III
01/11/2025,"Mount Union (MCVL) vs UC Santa Cruz (DIII Independent) [0-3] (27-29, 16-25, 19-25)",https://stats.ncaa.org/contests/6081584/box_score,D-III
01/11/2025,"St. John Fisher (UVC) vs Mt. St. Joseph (MCVL) [3-0] (25-19, 25-18, 25-20)",https://stats.ncaa.org/contests/6317337/box_score,D-III
01/11/2025,"Russell Sage (NEVC) vs SUNY Poly (NEVC) [0-3] (27-29, 21-25, 22-25)",https://stats.ncaa.org/contests/6081581/box_score,D-III
01/11/2025,"Roanoke (ODAC) vs Thiel (PAC) [3-2] (16-25, 25-23, 25-19, 15-25, 15-11)",https://stats.ncaa.org/contests/6081565/box_score,D-III
01/11/2025,"St. John Fisher (UVC) vs Lancaster Bible (United East) [3-0] (25-23, 25-16, 25-22)",https://stats.ncaa.org/contests/6081567/box_score,D-III
01/11/2025,"Roanoke (ODAC) vs Concordia Chicago (NACC) [3-1] (26-24, 22-25, 25-16, 25-19)",https://stats.ncaa.org/contests/6081568/box_score,D-III
01/11/2025,"Calvin (MCVL) vs UC Santa Cruz (DIII Independent) [0-3] (14-25, 22-25, 15-25)",https://stats.ncaa.org/contests/6081569/box_score,D-III
01/11/2025,"Elmira (UVC) vs Eastern (Middle Atlantic) [3-2] (23-25, 21-25, 25-21, 25-22, 15-8)",https://stats.ncaa.org/contests/6081570/box_score,D-III
01/11/2025,"Hobart (UVC) vs SUNY Poly (NEVC) [3-0] (25-20, 25-19, 25-22)",https://stats.ncaa.org/contests/6081571/box_score,D-III
01/11/2025,"Westminster (MO) (na) vs Russell Sage (NEVC) [3-1] (22-25, 25-22, 25-12, 25-20)",https://stats.ncaa.org/contests/6081572/box_score,D-III
01/11/2025,"Chatham (PAC) vs Hiram (AMCC) [0-3] (15-25, 22-25, 14-25)",https://stats.ncaa.org/contests/6081573/box_score,D-III
01/11/2025,"Elmira (UVC) vs Wilkes (CVC) [3-1] (25-20, 25-22, 22-25, 25-22)",https://stats.ncaa.org/contests/6081574/box_score,D-III
01/11/2025,"St. John Fisher (UVC) vs Mt. St. Joseph (MCVL) [3-0] (25-19, 25-18, 25-20)",https://stats.ncaa.org/contests/6081575/box_score,D-III
01/11/2025,"Thiel (PAC) vs Wittenberg (MCVL) [1-3] (22-25, 25-19, 21-25, 19-25)",https://stats.ncaa.org/contests/6081576/box_score,D-III
01/11/2025,"Lasell (Great Northeast) vs Misericordia (Middle Atlantic) [3-1] (25-20, 25-23, 20-25, 25-16)",https://stats.ncaa.org/contests/6081577/box_score,D-III
01/11/2025,"Westminster (MO) (na) vs Nazareth (UVC) [0-3] (21-25, 21-25, 19-25)",https://stats.ncaa.org/contests/6081578/box_score,D-III
01/11/2025,"Chatham (PAC) vs Juniata (CVC) [0-3] (12-25, 12-25, 17-25)",https://stats.ncaa.org/contests/6081579/box_score,D-III
01/11/2025,"Mt. St. Joseph (MCVL) vs Trine (MCVL) [3-0] (25-22, 25-10, 25-19)",https://stats.ncaa.org/contests/6081580/box_score,D-III
01/11/2025,"Lasell (Great Northeast) vs Nazareth (UVC) [3-1] (25-16, 26-24, 17-25, 25-16)",https://stats.ncaa.org/contests/6081563/box_score,D-III
01/11/2025,"Wis. Lutheran (NACC) vs Cal Lutheran (DIII Independent) [0-3] (22-25, 16-25, 11-25)",https://stats.ncaa.org/contests/6081566/box_score,D-III
01/11/2025,"Hiram (AMCC) vs Juniata (CVC) [0-3] (15-25, 12-25, 17-25)",https://stats.ncaa.org/contests/6081562/box_score,D-III
