Player Number,Name,Position,Height,College / Home Club,Team Name
2,Piyanut Pannoy,Libero,5-6,,Atlanta
3,Marta Bechis,Setter,5-11,,Atlanta
4,Jessica Rivero Marin,Outside Hitter,6-0,,Atlanta
8,Kayla Haneline,Middle Blocker,6-2,University of Northern Iowa,Atlanta
9,Iga Wasilewska,Middle Blocker,6-0,LTS Legionovia Legionowo,Atlanta
10,Madi Bugg,Setter,6-1,Stanford,Atlanta
11,Onye Ofoegbu,Middle Blocker,6-3,Oregon and UC Irvine,Atlanta
13,McKenzie Adams,Outside Hitter,6-4,Univ. Texas at San Antonio,Atlanta
14,Tia Jimerson,Middle Blocker,6-3,Ohio University,Atlanta
15,Magdalena Jehl,Middle Blocker,6-3,Washington State,Atlanta
16,Beatrice Negretti,Libero,5-7,,Atlanta
17,Tessa Grubbs,Opposite Hitter,6-3,University of Tennessee,Atlanta
20,Danielle Cuttino,Opposite Hitter,6-4,Purdue University,Atlanta
23,Kelsey Cook,Outside Hitter,6-2,University of Nebraska,Atlanta
77,Gia Day,Outside Hitter,6-2,"University of Maryland, Baylor",Atlanta
1,Khat Bell,Opposite Hitter,6-2,Texas,Austin
2,Leah Hardeman,Outside Hitter,5-10,Coastal Carolina,Austin
3,Carli Lloyd,Setter,5-11,Cal Berkeley,Austin
5,Molly McCage,Middle Blocker,6-4,Texas,Austin
6,Alessia Gennari,Outside Hitter,6-0,,Austin
7,Asjia O,Middle Blocker,6-3,Texas,Austin
9,Saige Ka,Setter,6-0,Utah / Texas,Austin
10,Zoe Jarvis,Libero,5-7,University of Texas,Austin
11,Chiaka Ogbogu,Middle Blocker,6-2,University of Texas,Austin
12,Carly DeHoog,Opposite Hitter,6-4,University of Washington,Austin
13,Juliann Faucette,Opposite Hitter,6-2,University of Texas,Austin
15,Kotoe Inoue,Libero,5-3,,Austin
16,Madisen Skinner,Opposite Hitter,6-2,Texas/Kentucky,Austin
17,Anna Haak,Outside Hitter,5-10,,Austin
33,Logan Eggleston,Outside Hitter,6-2,University of Texas,Austin
1,Grace Frohling,Opposite Hitter,6-5,University of San Diego,Houston
2,Karin Palgutova,Outside Hitter,6-2,St. John's University,Houston
3,Amber Igiede,Middle Blocker,6-3,University of Hawaii,Houston
4,Anna Pogany,Libero,5-7,,Houston
5,NewJess Mruzik,Outside Hitter,6-1,Penn State/Michigan,Houston
7,Raphaela Folie,Middle Blocker,6-1,,Houston
8,Christina Bauer,Middle Blocker,6-5,"VBC Kingersheim, ASPTT Mulhouse",Houston
9,Madi Rishel,Outside Hitter,6-0,University of Arizona,Houston
10,Kaisa Alanko,Setter,5-9,University of Jyväskylä,Houston
11,Anita Anwusi,Middle Blocker,6-3,LSU,Houston
12,Micha Hancock,Setter,5-11,Penn State University,Houston
14,Julia Brown,Outside Hitter,6-1,NC State,Houston
17,Sara Loda,Outside Hitter,5-9,Bergamo Youth Team,Houston
18,Key Alves,Libero,5-5,,Houston
23,Jordan Thompson,Opposite Hitter,6-4,University of Cincinnati,Houston
1,Daly Santana,Outside Hitter,6-1,University of Minnesota,Madison
2,Anna Hall,Middle Blocker,6-2,Louisville,Madison
3,Mariena Hayden,Outside Hitter,6-0,UNLV,Madison
4,Milica Medved,Libero,5-11,,Madison
5,Simin Wang,Libero,5-5,,Madison
6,Jennifer Janiska,Outside Hitter,6-0,,Madison
7,Lauren Carlini,Setter,6-1,University of Wisconsin,Madison
8,Claire Felix,Middle Blocker,6-6,UCLA,Madison
9,Claire Chaussee,Outside Hitter,6-0,Louisville,Madison
10,Taylor Sandbothe,Middle Blocker,6-2,Ohio State,Madison
11,Annie Schumacher,Opposite Hitter,6-4,Purdue University,Madison
12,Temi Thomas,Opposite Hitter,6-2,Wisconsin and Northwestern,Madison
13,Sarah Franklin,Outside Hitter,6-4,Wisconsin and Michigan State,Madison
14,Danica Markovic,Setter,6-1,,Madison
27,Ana Beatriz Correa,Middle Blocker,6-2,,Madison
1,Lexi Rodriguez,Libero,5-5,Nebraska,Omaha
2,Emily Thater,Middle Blocker,6-3,University of Missouri,Omaha
3,Annie Cesar,Libero,5-8,,Omaha
4,Justine Wong,Libero,5-6,University of Nebraska,Omaha
5,Jaali Winters,Outside Hitter,6-3,Creighton University,Omaha
7,Vicky Savard,Outside Hitter,6-1,Université de Montréal,Omaha
8,Kimberly Drewniok,Opposite Hitter,6-2,RC Sorpesee Club,Omaha
10,Jordan Larson,Outside Hitter,6-2,University of Nebraska,Omaha
11,Amber Stivrins,Outside Hitter,6-2,"Louisville, Georgia, USD",Omaha
12,Audriana Fitzmorris,Opposite Hitter,6-6,Stanford,Omaha
13,Gabby Blossom,Setter,5-9,University of San Diego and Penn State,Omaha
14,Laura Dijkema,Setter,6-0,Smash,Omaha
17,Candelaria Herrera,Middle Blocker,6-0,Florida A&M / Iowa State,Omaha
26,Lauren Stivrins,Middle Blocker,6-4,Nebraska,Omaha
33,Madi Kubik,Outside Hitter,6-3,University of Nebraska,Omaha
1,Jordyn Poulter,Setter,6-2,University of Illinois,Salt Lake
2,Tamaki Matsui,Setter,5-7,Japan Women's College of Physical Education,Salt Lake
3,Morgan Miller,Outside Hitter,6-3,Cal Berkeley,Salt Lake
4,Maddie Haynes,Outside Hitter,6-4,University of California,Salt Lake
5,Skylar Fields,Opposite Hitter,6-3,USC,Salt Lake
6,Tori Dixon,Middle Blocker,6-3,Minnesota,Salt Lake
7,Sophie Fischer,Middle Blocker,6-5,Georgia,Salt Lake
11,Serena Gray,Middle Blocker,6-2,University of Pittsburgh,Salt Lake
12,Roni Jones,Outside Hitter,6-0,Brigham Young University,Salt Lake
15,Haleigh Washington,Middle Blocker,6-3,Penn State University,Salt Lake
16,Manami Kojima,Libero,5-2,Aoyama Gakuin University,Salt Lake
17,Dani Drews,Outside Hitter,6-0,University of Utah,Salt Lake
18,Mary Lake,Libero,5-7,Brigham Young University,Salt Lake
21,Claire Hoffman,Outside Hitter,6-2,University of Washington,Salt Lake
33,Heidy Casanova,Opposite Hitter,6-0,,Salt Lake
