Name,Player Number,Position,Team Name,Height,College / Home Club,league
Taya Beller,10.0,Middle Blocker,Atlanta Vibe,6'2,Wayne State College,pvf
Whitney Bower,14.0,Setter,Atlanta Vibe,5'7,BYU,pvf
Anna Dixon,24.0,Outside Hitter,Atlanta Vibe,6'3,"Florida, Mizzou",pvf
Leah Edmond,13.0,Outside Hitter,Atlanta Vibe,6'2,Kentucky,pvf
Kacie Evans,23.0,Outside Hitter,Atlanta Vibe,5'11,Georgia,pvf
Shelly Fanning,3.0,Middle Blocker,Atlanta Vibe,6'2,Baylor,pvf
Taylor Head,1.0,Outside Hitter,Atlanta Vibe,5'10,Florida State/Arkansas,pvf
Morgan Hentz,9.0,Libero,Atlanta Vibe,5'9,Stanford,pvf
Madolyn Isringhausen,20.0,Outside Hitter,Atlanta Vibe,5'11,Tennessee Tech,pvf
Aiko Jones,15.0,Opposite Hitter,Atlanta Vibe,6'2,Louisville,pvf
Khori Louis,22.0,Middle Blocker,Atlanta Vibe,6'3,Florida State,pvf
Marlie Monserez,21.0,Setter,Atlanta Vibe,6'0,"Florida, UCLA",pvf
Jenna Rosenthal,16.0,Middle Blocker,Atlanta Vibe,6'6,Marquette,pvf
Pia Timmer,7.0,Outside Hitter,Atlanta Vibe,6'2,Washington State,pvf
Mia Tuaniga,91.0,Setter,Atlanta Vibe,5'9,University of Southern California,pvf
McKenna Vicini,12.0,Middle Blocker,Atlanta Vibe,6'2,,pvf
Karis Watson,16.0,Middle Blocker,Atlanta Vibe,6'2,Clemson,pvf
Paula Cerame,20.0,Libero,Columbus Fury,5'8,Indiana,pvf
Megan Courtney-Lush,17.0,Outside Hitter,Columbus Fury,6'1,Penn State,pvf
Beta Dumančić,,Middle Blocker,Columbus Fury,6'2,Clemson,pvf
Jill Gillen,10.0,Outside Hitter,Columbus Fury,5'7,Arkansas,pvf
Janice Leao,,Middle Blocker,Columbus Fury,6'3,Miami,pvf
Morgan Lewis,30.0,Opposite Hitter,Columbus Fury,6'3,Oregon,pvf
Kaley Rammelsberg,,Middle Blocker,Columbus Fury,6'2,Indiana,pvf
Wilma Rivera,12.0,Setter,Columbus Fury,5'8,Louisville,pvf
Tori Stringer,12.0,Setter,Columbus Fury,5'11,Louisville,pvf
Symone Abbott,27.0,Outside Hitter,Grand Rapids Rise,6'1,Northwestern,pvf
Sherridan Atkinson,,Opposite Hitter,Grand Rapids Rise,6'5,"Purdue, Long Beach State",pvf
Ali Bastianelli,10.0,Middle Blocker,Grand Rapids Rise,6'3,Illinois,pvf
Paige Briggs-Romine,13.0,Outside Hitter,Grand Rapids Rise,5'10,Western Kentucky,pvf
Marin Grote,8.0,Middle Blocker,Grand Rapids Rise,6'4,Washington,pvf
Alyssa Jensen,17.0,Middle Blocker,Grand Rapids Rise,6'4,Michigan State,pvf
Valeria Leon,3.0,Libero,Grand Rapids Rise,5'6,Ohio State,pvf
Kaleigh Nelson,6.0,Opposite Hitter,Grand Rapids Rise,6'0,Washington,pvf
Jena Otec,,Libero,Grand Rapids Rise,5'10,Purdue,pvf
Erika Pritchard,5.0,Outside Hitter,Grand Rapids Rise,6'3,"Penn State, Maryland",pvf
August Raskie,1.0,Setter,Grand Rapids Rise,6'2,Oregon,pvf
Carli Snyder,,Outside Hitter,Grand Rapids Rise,6'1,Florida,pvf
MacKenzi Vazquez,,Setter,Grand Rapids Rise,6'1,Michigan,pvf
Grace Cleveland,20.0,Opposite Hitter,Indy Ignite,6'3,Purdue,pvf
Gabby Gonzales,15.0,Outside Hitter,Indy Ignite,6'3,Oregon,pvf
