date,location,home_team_id,away_team_id,home_team_name,away_team_name,league
2025-01-10,Addition Financial Arena,6,8,Orlando Valkyries,San Diego Mojo,pvf
2025-01-11,CHI Health Center,5,2,Omaha Supernovas,Atlanta Vibe,pvf
2025-01-11,Lee's Family Forum,9,4,Vegas Thrill,Grand Rapids Rise,pvf
2025-01-12,Fishers Event Center,11,6,Indy Ignite,Orlando Valkyries,pvf
2025-01-12,Nationwide Arena,3,8,Columbus Fury,San Diego Mojo,pvf
2025-01-12,Van Andel Arena,4,5,Grand Rapids Rise,Omaha Supernovas,pvf
2025-01-13,Lee's Family Forum,9,2,Vegas Thrill,Atlanta Vibe,pvf
2025-01-17,Fishers Event Center,11,4,Indy Ignite,Grand Rapids Rise,pvf
2025-01-17,Gas South Arena,2,3,Atlanta Vibe,Columbus Fury,pvf
2025-01-17,Viejas Arena,8,6,San Diego Mojo,Orlando Valkyries,pvf
2025-01-18,Lee's Family Forum,9,5,Vegas Thrill,Omaha Supernovas,pvf
2025-01-19,Nationwide Arena,3,11,Columbus Fury,Indy Ignite,pvf
2025-01-19,CHI Health Center,5,8,Omaha Supernovas,San Diego Mojo,pvf
2025-01-19,Gas South Arena,2,4,Atlanta Vibe,Grand Rapids Rise,pvf
2025-01-20,Lee's Family Forum,9,6,Vegas Thrill,Orlando Valkyries,pvf
2025-01-24,Gas South Arena,2,9,Atlanta Vibe,Vegas Thrill,pvf
2025-01-25,Nationwide Arena,3,5,Columbus Fury,Omaha Supernovas,pvf
2025-01-25,Viejas Arena,8,11,San Diego Mojo,Indy Ignite,pvf
2025-01-26,Nationwide Arena,3,4,Columbus Fury,Grand Rapids Rise,pvf
2025-01-26,Addition Financial Arena,6,9,Orlando Valkyries,Vegas Thrill,pvf
2025-01-31,Van Andel Arena,4,6,Grand Rapids Rise,Orlando Valkyries,pvf
2025-01-31,Viejas Arena,8,2,San Diego Mojo,Atlanta Vibe,pvf
2025-02-01,CHI Health Center,5,3,Omaha Supernovas,Columbus Fury,pvf
2025-02-01,Lee's Family Forum,9,11,Vegas Thrill,Indy Ignite,pvf
2025-02-02,Addition Financial Arena,6,5,Orlando Valkyries,Omaha Supernovas,pvf
2025-02-02,Van Andel Arena,4,8,Grand Rapids Rise,San Diego Mojo,pvf
2025-02-02,Fishers Event Center,11,3,Indy Ignite,Columbus Fury,pvf
2025-02-03,Lee's Family Forum,9,2,Vegas Thrill,Atlanta Vibe,pvf
2025-02-07,Gas South Arena,2,6,Atlanta Vibe,Orlando Valkyries,pvf
2025-02-07,Fishers Event Center,11,5,Indy Ignite,Omaha Supernovas,pvf
2025-02-08,Nationwide Arena,3,4,Columbus Fury,Grand Rapids Rise,pvf
2025-02-08,Viejas Arena,8,9,San Diego Mojo,Vegas Thrill,pvf
2025-02-09,Gas South Arena,2,5,Atlanta Vibe,Omaha Supernovas,pvf
