date,match,results,box_score_url
10/03/2024,Nebraska (Big Ten) vs Illinois (Big Ten),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5362119/box_score
10/03/2024,Oregon (Big Ten) vs Ohio St. (Big Ten),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5362665/box_score
10/03/2024,LMU (CA) (WCC) vs Santa Clara (WCC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674105/box_score
10/03/2024,Western Ill. (OVC) vs Tennessee Tech (OVC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674106/box_score
10/03/2024,Ga. Southern (SBC) vs Marshall (SBC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674108/box_score
10/03/2024,Pepperdine (WCC) vs Gonzaga (WCC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674111/box_score
10/03/2024,Arkansas St. (SBC) vs Southern Miss. (SBC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674112/box_score
10/03/2024,Queens (NC) (ASUN) vs West Ga. (ASUN),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674115/box_score
10/03/2024,Utah St. (MW) vs San Diego St. (MW),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674116/box_score
10/03/2024,Air Force (MW) vs Boise St. (MW),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674117/box_score
10/03/2024,The Citadel (SoCon) vs UNC Greensboro (SoCon),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674118/box_score
10/03/2024,UTRGV (SLC) vs UIW (SLC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674123/box_score
10/03/2024,California Baptist (WAC) vs Abilene Christian (WAC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674125/box_score
10/03/2024,Seattle U (WAC) vs Tarleton St. (WAC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674134/box_score
10/03/2024,Southern Ind. (OVC) vs Eastern Ill. (OVC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674135/box_score
10/03/2024,Akron (MAC) vs NIU (MAC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674136/box_score
10/03/2024,Elon (CAA) vs Hampton (CAA),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674138/box_score
10/03/2024,Southern Utah (WAC) vs UT Arlington (WAC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674140/box_score
10/03/2024,Long Beach St. (BWC) vs UC San Diego (BWC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674143/box_score
10/03/2024,A&M-Corpus Christi (SLC) vs Prairie View (SWAC),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674145/box_score
10/03/2024,Kansas St. (Big 12) vs Texas Tech (Big 12),[0-0] (),https://stats.ncaa.org/contests/livestream_scoreboards/5674146/box_score
