#,Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short
18,Carson Bell,Jr.,MB,6-6,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
12,Beck Fieldhouse,Sr.,OH,5-11,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
1,Micah Low,Sr.,S,5-10,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
4,Zach Molnar,Sr.,OH,6-1,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
13,Garrett Leaver,Jr.,S,6-0,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
20,Marco Gomez,Jr.,L/DS,5-10,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
25,William Morris,So.,MB,6-5,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
2,Preston Talsma,So.,L/DS,5-9,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
19,David Cauley,So.,OH,5-10,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
9,Sam Landers,So.,RS,6-7,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
10,Carles Baza,So.,OH,6-2,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
8,Andrew Grazcyk,So.,S,5-10,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
21,Maxim Gutierrez,Sr.,MB,6-2,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
6,Hunter Ross,Fr.,L,5-10,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
7,Thomas Williams,Fr.,RS,6-2,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
14,Rolen Maclin,Fr.,L,6-0,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
11,Jahryck Muliagatele,Fr.,S,5-9,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
48,Nathan Webster,Fr.,MB,6-4,,,4,Adrian College,Midwest Collegiate Volleyball League,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25,Adrian,MCVL
4,Ray Peralta,Jr.,OH,5-10,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
2,Fabian Lugo,Jr.,L/DS,5-10,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
12,Hector Garcia Quiros,Jr.,MB,6-0,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
5,Robert Santana,Jr.,OH,6-1,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
9,William Hall,Jr.,MB,6-1,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
1,Jonathan Rosario,Jr.,S,5-10,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
10,Manik Martins,Sr.,L/DS,5-7,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
11,Isaiah Lee,Jr.,OH,6-1,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
3,Aidan Miller,So.,S,5-8,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
7,Collin Doyle,Jr.,MB,5-11,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
16,Victor Alamo,Jr.,OH,6-0,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
6,Willie Lopez Morales,So.,OH,6-0,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
18,Connor White,So.,MB,6-4,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
8,Cain Joynes,So.,OH,6-5,"Jacksonville, FL",,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
19,Toreign Foster,Fr.,OH,6-2,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
15,Jahcere Registe,Fr.,MB,6-3,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
17,Emil Zhmaidziak,Fr.,OH,6-5,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
14,McBenedict Mweze,Fr.,OH,5-11,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
13,Jamari Stevens,Fr.,OH,6-0,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
20,Rian Woods,Fr.,S,6-1,,,22,American International College,East Coast Conference,aic.edu,aicyellowjackets.com,MA,D-I,2024-25,American Int'l,ECC
24,Andrew Ahn,Jr.,OH,6-2,,,966,Arcadia University,Middle Atlantic Conferences,www.arcadia.edu,www.arcadiaknights.com/,PA,D-III,2024-25,Arcadia,Middle Atlantic
