team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year
2,Abilene Christian University,923,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25
30123,Academy of Art University,19591,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25
929,Adams State University,13128,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25
3,Adelphi University,899,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25
4,Adrian College,873,Michigan Intercol. Ath. Assn.,www.adrian.edu,www.adrianbulldogs.com,MI,D-III,2024-25
11324,Agnes Scott College,30251,Collegiate Conference of the South,www.agnesscott.edu,www.ascscotties.com,GA,D-III,2024-25
5,University of Akron,875,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25
8,University of Alabama,911,Southeastern Conference,www.ua.edu,www.rolltide.com,AL,D-I,2024-25
6,Alabama A&M University,916,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com,AL,D-I,2024-25
10,University of Alabama in Huntsville,858,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25
7,Alabama State University,916,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com,AL,D-I,2024-25
9,University of Alabama at Birmingham,823,American Athletic Conference,www.uab.edu,www.uabsports.com,AL,D-I,2024-25
11,University of Alaska Anchorage,30012,Great Northwest Athletic Conference,www.uaa.alaska.edu,www.goseawolves.com,AK,D-II,2024-25
12,University of Alaska Fairbanks,30012,Great Northwest Athletic Conference,www.uaf.edu,www.AlaskaNanooks.com,AK,D-II,2024-25
14,University at Albany,845,America East Conference,www.albany.edu,www.ualbanysports.com,NY,D-I,2024-25
13,Albany State University (Georgia),913,Southern Intercol. Ath. Conf.,www.asurams.edu,www.asugoldenrams.com,GA,D-II,2024-25
2798,Albertus Magnus College,23257,Great Northeast Athletic Conference,www.albertus.edu,www.albertusfalcons.com,CT,D-III,2024-25
15,Albion College,873,Michigan Intercol. Ath. Assn.,www.albion.edu,www.gobrits.com,MI,D-III,2024-25
16,Albright College,877,Middle Atlantic Conferences,www.albright.edu,www.albrightathletics.com,PA,D-III,2024-25
17,Alcorn State University,916,Southwestern Athletic Conf.,www.alcorn.edu,www.alcornsports.com,MS,D-I,2024-25
30170,Alfred State College,30022,Allegheny Mountain Collegiate Conference,www.alfredstate.edu,www.alfredstateathletics.com,NY,D-III,2024-25
18,Alfred University,863,Empire 8,www.alfred.edu,www.gosaxons.com,NY,D-III,2024-25
19,Allegheny College,907,Presidents' Athletic Conference,www.allegheny.edu,www.alleghenygators.com,PA,D-III,2024-25
30240,Allen University,913,Southern Intercol. Ath. Conf.,allenuniversity.edu,auyellowjackets.com,SC,D-II,2024-25
21,Alma College,873,Michigan Intercol. Ath. Assn.,www.alma.edu,www.almascots.com,MI,D-III,2024-25
938,Alvernia University,877,Middle Atlantic Conferences,www.alvernia.edu,athletics.alvernia.edu,PA,D-III,2024-25
28746,Alverno College,30097,Northern Athletics Collegiate Conference,www.alverno.edu,athletics.alverno.edu/,WI,D-III,2024-25
22,American International College,899,Northeast-10 Conference,aic.edu,aicyellowjackets.com,MA,D-II,2024-25
23,American University,838,Patriot League,american.edu,www.aueagles.com,DC,D-I,2024-25
24,Amherst College,12817,New England Small College Athletic Conference,www.amherst.edu,athletics.amherst.edu/landing/index,MA,D-III,2024-25
939,Anderson University (Indiana),9174,Heartland Collegiate Athletic Conference,www.anderson.edu,athletics.anderson.edu,IN,D-III,2024-25
13028,Anderson University (South Carolina),12850,South Atlantic Conference,www.andersonuniversity.edu,www.autrojans.com,SC,D-II,2024-25
25,Angelo State University,868,Lone Star Conference,www.angelo.edu,www.angelosports.com,TX,D-II,2024-25
26,Anna Maria College,23257,Great Northeast Athletic Conference,www.annamaria.edu,goamcats.com/landing/index,MA,D-III,2024-25
27,Appalachian State University,818,Sun Belt Conference,www.appstate.edu,appstatesports.com,NC,D-I,2024-25
966,Arcadia University,877,Middle Atlantic Conferences,www.arcadia.edu,www.arcadiaknights.com/,PA,D-III,2024-25
29,University of Arizona,25354,Big 12 Conference,www.arizona.edu,www.arizonawildcats.com,AZ,D-I,2024-25
28,Arizona State University,25354,Big 12 Conference,asu.edu,thesundevils.com,AZ,D-I,2024-25
30,Arkansas State University,818,Sun Belt Conference,www.astate.edu,www.astateredwolves.com,AR,D-I,2024-25
947,Arkansas Tech University,30144,Great American Conference,www.atu.edu,www.arkansastechsports.com/,AR,D-II,2024-25
31,"University of Arkansas, Fayetteville",911,Southeastern Conference,www.uark.edu/,arkansasrazorbacks.com/,AR,D-I,2024-25
30105,"University of Arkansas, Fort Smith",883,Mid-America Intercollegiate Athletics Association,www.uafs.edu/Home/Index,www.uafortsmithlions.com,AR,D-II,2024-25
32,University of Arkansas at Little Rock,902,Ohio Valley Conference,www.ualr.edu,//lrtrojans.com,AR,D-I,2024-25
8411,"University of Arkansas, Monticello",30144,Great American Conference,www.uamont.edu,www.uamsports.com,AR,D-II,2024-25
2678,"University of Arkansas, Pine Bluff",916,Southwestern Athletic Conf.,www.uapb.edu,uapblionsroar.com/,AR,D-I,2024-25
30243,Asbury University,0,Independent,www.asbury.edu,www.asburyeagles.com,KY,D-III,2024-25
35,Ashland University,30182,Great Midwest Athletic Conference,www.ashland.edu,www.goashlandeagles.com,OH,D-II,2024-25
36,Assumption University,899,Northeast-10 Conference,www.assumption.edu,www.assumptiongreyhounds.com,MA,D-II,2024-25
37,Auburn University,911,Southeastern Conference,www.auburn.edu,www.auburntigers.com,AL,D-I,2024-25
30093,Auburn University at Montgomery,858,Gulf South Conference,www.aum.edu,www.aumathletics.com,AL,D-II,2024-25
38,Augsburg University,882,Minnesota Intercollegiate Athletic Conference,www.augsburg.edu,athletics.augsburg.edu,MN,D-III,2024-25
39,Augusta University,12923,Peach Belt Conference,www.augusta.edu,www.augustajags.com,GA,D-II,2024-25
40,Augustana College (Illinois),836,College Conference of Illinois & Wisconsin,www.augustana.edu,www.athletics.augustana.edu/,IL,D-III,2024-25
41,Augustana University (South Dakota),12853,Northern Sun Intercollegiate Conference,www.augie.edu,www.goaugie.com,SD,D-II,2024-25
42,Aurora University,30097,Northern Athletics Collegiate Conference,www.aurora.edu,athletics.aurora.edu,IL,D-III,2024-25
953,Austin College,835,Southern Collegiate Athletic Conference,www.austincollege.edu,www.acroos.com,TX,D-III,2024-25
43,Austin Peay State University,920,Atlantic Sun Conference,www.apsu.edu,www.letsgopeay.com,TN,D-I,2024-25
44,Averett University,903,Old Dominion Athletic Conf.,www.averett.edu,www.averettcougars.com,VA,D-III,2024-25
30146,Azusa Pacific University,19591,Pacific West Conference,www.apu.edu,athletics.apu.edu,CA,D-II,2024-25
45,Babson College,890,New England Women's and Men's Athletic Conference,www.babson.edu,www.babsonathletics.com,MA,D-III,2024-25
46,Baldwin Wallace University,901,Ohio Athletic Conference,www.bw.edu,www.bwyellowjackets.com/landing/index,OH,D-III,2024-25
47,Ball State University,875,Mid-American Conference,www.bsu.edu,www.ballstatesports.com,IN,D-I,2024-25
962,Bard College,24197,Liberty League,www.bard.edu,www.bardathletics.com,NY,D-III,2024-25
49,Barry University,919,Sunshine State Conference,www.barry.edu,Www.GoBarryBucs.com,FL,D-II,2024-25
15646,Barton College,4423,Conference Carolinas,www.barton.edu,www.bartonbulldogs.com,NC,D-II,2024-25
58,Baruch College,834,City University of New York Athletic Conference,www.baruch.cuny.edu,www.baruchathletics.com,NY,D-III,2024-25
50,Bates College,12817,New England Small College Athletic Conference,www.bates.edu,www.gobatesbobcats.com,ME,D-III,2024-25
51,Baylor University,25354,Big 12 Conference,www.baylor.edu,www.baylorbears.com,TX,D-I,2024-25
30197,Belhaven University,30251,Collegiate Conference of the South,www.belhaven.edu,blazers.belhaven.edu,MS,D-III,2024-25
52,Bellarmine University,920,Atlantic Sun Conference,www.bellarmine.edu,athletics.bellarmine.edu,KY,D-I,2024-25
2683,Belmont Abbey College,4423,Conference Carolinas,www.bac.edu,www.abbeyathletics.com,NC,D-II,2024-25
14927,Belmont University,884,Missouri Valley Conference,www.belmont.edu,www.belmontbruins.com,TN,D-I,2024-25
53,Beloit College,23119,Midwest Conference,www.beloit.edu,www.beloit.edu/bucs/,WI,D-III,2024-25
54,Bemidji State University,12853,Northern Sun Intercollegiate Conference,https://www.bemidjistate.edu/,https://www.bsubeavers.com/,MN,D-II,2024-25
55,Benedict College,913,Southern Intercol. Ath. Conf.,www.benedict.edu,benedicttigers.com,SC,D-II,2024-25
296,Benedictine University (Illinois),30097,Northern Athletics Collegiate Conference,www.ben.edu,www.benueagles.com,IL,D-III,2024-25
56,Bentley University,899,Northeast-10 Conference,www.bentley.edu,www.bentley.edu/athletics,MA,D-II,2024-25
30171,Berea College,9174,Heartland Collegiate Athletic Conference,www.berea.edu,www.bereaathletics.com,KY,D-III,2024-25
973,Berry College,30169,Southern Athletic Association,www.berry.edu,www.berryvikings.com,GA,D-III,2024-25
59,Bethany College (West Virginia),907,Presidents' Athletic Conference,www.bethanywv.edu,bethanybison.com,WV,D-III,2024-25
30038,Bethany Lutheran College,30115,Upper Midwest Athletic Conference,www.blc.edu,www.blcvikings.com,MN,D-III,2024-25
60,Bethel University (Minnesota),882,Minnesota Intercollegiate Athletic Conference,www.bethel.edu,athletics.bethel.edu/,MN,D-III,2024-25
61,Bethune-Cookman University,916,Southwestern Athletic Conf.,www.cookman.edu,www.bcuathletics.com,FL,D-I,2024-25
62,Binghamton University,845,America East Conference,www.binghamton.edu,www.bubearcats.com,NY,D-I,2024-25
