,date,match,results,box_score_url,div
0,08/30/2024,John Jay (CUNYAC) vs UMSV (Skyline),"[3-0] (25-15, 25-17, 25-15)",https://stats.ncaa.org/contests/5667114/box_score,D-III
1,08/30/2024,Whittier (SCIAC) vs Centre (SAA),"[2-3] (25-13, 24-26, 19-25, 25-19, 12-15)",https://stats.ncaa.org/contests/5667115/box_score,D-III
2,08/30/2024,Redlands (SCIAC) vs Whitman (NWC),"[3-0] (25-18, 25-13, 25-23)",https://stats.ncaa.org/contests/5667123/box_score,D-III
3,08/30/2024,Hendrix (SAA) vs St. Thomas (TX) (SCAC),"[0-3] (15-25, 20-25, 10-25)",https://stats.ncaa.org/contests/5667125/box_score,D-III
4,08/30/2024,Fisher (nan) vs Regis (MA) (Great Northeast),"[0-3] (14-25, 16-25, 9-25)",https://stats.ncaa.org/contests/5667143/box_score,D-III
5,08/30/2024,Pacific Union (nan) vs Willamette (NWC),"[3-1] (25-17, 21-25, 25-23, 25-18)",https://stats.ncaa.org/contests/5667145/box_score,D-III
6,08/30/2024,Franklin (HCAC) vs St. Mary-Woods (nan),"[0-3] (31-33, 14-25, 19-25)",https://stats.ncaa.org/contests/5667149/box_score,D-III
7,08/30/2024,Carleton (MIAC) vs Lawrence (MWC),"[3-0] (25-15, 25-21, 25-22)",https://stats.ncaa.org/contests/5667152/box_score,D-III
8,08/30/2024,Skidmore (Liberty League) vs Occidental (SCIAC),"[1-3] (24-26, 9-25, 25-22, 20-25)",https://stats.ncaa.org/contests/5667153/box_score,D-III
9,08/30/2024,Randolph-Macon (ODAC) vs Hanover (HCAC),"[1-3] (19-25, 23-25, 25-20, 22-25)",https://stats.ncaa.org/contests/5667158/box_score,D-III
10,08/30/2024,Texas Lutheran (SCAC) vs Cortland (SUNYAC),"[0-3] (21-25, 28-30, 23-25)",https://stats.ncaa.org/contests/5667161/box_score,D-III
11,08/30/2024,Rowan (NJAC) vs Buffalo St. (SUNYAC),"[3-1] (15-25, 25-18, 25-21, 25-23)",https://stats.ncaa.org/contests/5667162/box_score,D-III
12,08/30/2024,John Jay (CUNYAC) vs New Jersey City (NJAC),"[3-0] (25-14, 25-16, 27-25)",https://stats.ncaa.org/contests/5667169/box_score,D-III
13,08/30/2024,Wis.-Oshkosh (WIAC) vs Gustavus Adolphus (MIAC),"[1-3] (25-27, 16-25, 25-18, 17-25)",https://stats.ncaa.org/contests/5667175/box_score,D-III
14,08/30/2024,Methodist (USA South) vs Guilford (ODAC),"[3-0] (25-22, 25-18, 25-14)",https://stats.ncaa.org/contests/5667176/box_score,D-III
15,08/30/2024,Meredith (USA South) vs Lynchburg (ODAC),"[2-3] (23-25, 25-23, 25-20, 17-25, 10-15)",https://stats.ncaa.org/contests/5667177/box_score,D-III
16,08/30/2024,Mary Hardin-Baylor (ASC) vs Linfield (NWC),"[3-0] (25-15, 25-15, 25-22)",https://stats.ncaa.org/contests/5667178/box_score,D-III
17,08/30/2024,Wis.-Superior (UMAC) vs McMurry (SCAC),"[3-2] (25-27, 25-19, 25-17, 18-25, 15-12)",https://stats.ncaa.org/contests/5667180/box_score,D-III
18,08/30/2024,Carlow (AMCC) vs Penn St.-Gr Allegheny (nan),"[3-1] (28-26, 25-18, 17-25, 27-25)",https://stats.ncaa.org/contests/5667181/box_score,D-III
19,08/30/2024,Whitworth (NWC) vs UC Santa Cruz (C2C),"[3-0] (29-27, 27-25, 25-18)",https://stats.ncaa.org/contests/5667187/box_score,D-III
20,08/30/2024,Centre (SAA) vs La Verne (SCIAC),"[0-3] (27-29, 17-25, 19-25)",https://stats.ncaa.org/contests/5667190/box_score,D-III
21,08/30/2024,Bryn Mawr (Centennial) vs Baruch (CUNYAC),"[3-2] (25-20, 25-19, 22-25, 14-25, 15-11)",https://stats.ncaa.org/contests/5667197/box_score,D-III
22,08/30/2024,Southwestern (TX) (SCAC) vs Aurora (NACC),"[3-1] (29-31, 25-20, 25-23, 25-20)",https://stats.ncaa.org/contests/5667198/box_score,D-III
23,08/30/2024,Manhattanville (Skyline) vs Simmons (Great Northeast),"[3-1] (25-20, 22-25, 25-20, 25-23)",https://stats.ncaa.org/contests/5667199/box_score,D-III
24,08/30/2024,Union (NY) (Liberty League) vs Chapman (SCIAC),"[1-3] (21-25, 25-20, 13-25, 23-25)",https://stats.ncaa.org/contests/5667201/box_score,D-III
25,08/30/2024,Whittier (SCIAC) vs UW-River Falls (WIAC),"[3-1] (13-25, 25-13, 25-23, 27-25)",https://stats.ncaa.org/contests/5667202/box_score,D-III
26,08/30/2024,Wis. Lutheran (NACC) vs Randolph-Macon (ODAC),"[0-3] (16-25, 14-25, 23-25)",https://stats.ncaa.org/contests/5667203/box_score,D-III
27,08/30/2024,Minn.-Morris (UMAC) vs Dubuque (American Rivers),"[1-3] (24-26, 19-25, 25-19, 19-25)",https://stats.ncaa.org/contests/5667205/box_score,D-III
28,08/30/2024,John Carroll (OAC) vs Grove City (PAC),"[3-1] (21-25, 25-23, 25-19, 25-18)",https://stats.ncaa.org/contests/5667206/box_score,D-III
29,08/30/2024,Muskingum (OAC) vs Chatham (PAC),"[3-0] (25-14, 25-17, 25-13)",https://stats.ncaa.org/contests/5667207/box_score,D-III
30,08/30/2024,Ohio Northern (OAC) vs CWRU (UAA),"[2-3] (22-25, 25-16, 25-18, 21-25, 8-15)",https://stats.ncaa.org/contests/5667208/box_score,D-III
31,08/30/2024,Heidelberg (OAC) vs Allegheny (PAC),"[2-3] (23-25, 16-25, 25-21, 25-22, 13-15)",https://stats.ncaa.org/contests/5667209/box_score,D-III
32,08/30/2024,LeTourneau (ASC) vs Manchester (HCAC),"[2-3] (25-19, 22-25, 25-10, 24-26, 9-15)",https://stats.ncaa.org/contests/5667210/box_score,D-III
33,08/30/2024,Macalester (MIAC) vs Carthage (CCIW),"[1-3] (16-25, 25-21, 13-25, 20-25)",https://stats.ncaa.org/contests/5667211/box_score,D-III
34,08/30/2024,Thomas (ME) (North Atlantic) vs Fisher (nan),"[2-3] (22-25, 27-25, 22-25, 25-21, 14-16)",https://stats.ncaa.org/contests/5667213/box_score,D-III
35,08/30/2024,Lawrence (MWC) vs UChicago (UAA),"[0-3] (19-25, 18-25, 19-25)",https://stats.ncaa.org/contests/5667216/box_score,D-III
36,08/30/2024,Loras (American Rivers) vs Alma (Michigan Intercol. Ath. Assn.),"[3-0] (25-19, 25-16, 25-19)",https://stats.ncaa.org/contests/5667218/box_score,D-III
37,08/30/2024,Muhlenberg (Centennial) vs Pomona-Pitzer (SCIAC),"[0-3] (19-25, 11-25, 19-25)",https://stats.ncaa.org/contests/5667219/box_score,D-III
38,08/30/2024,Pitt.-Greensburg (AMCC) vs Saint Vincent (PAC),"[1-3] (25-21, 23-25, 21-25, 19-25)",https://stats.ncaa.org/contests/5667221/box_score,D-III
39,08/30/2024,Bob Jones (nan) vs Guilford (ODAC),"[2-3] (23-25, 26-24, 16-25, 25-18, 9-15)",https://stats.ncaa.org/contests/5667224/box_score,D-III
40,08/30/2024,Schreiner (SCAC) vs Hendrix (SAA),"[2-3] (27-29, 12-25, 25-19, 25-15, 8-15)",https://stats.ncaa.org/contests/5667227/box_score,D-III
41,08/30/2024,Hendrix (SAA) vs Lewis & Clark (NWC),"[3-0] (25-22, 25-21, 25-21)",https://stats.ncaa.org/contests/5667228/box_score,D-III
42,08/30/2024,RIT (Liberty League) vs Bethany (WV) (PAC),"[3-2] (23-25, 27-25, 25-16, 23-25, 17-15)",https://stats.ncaa.org/contests/5667230/box_score,D-III
43,08/30/2024,Franklin (HCAC) vs Goshen (nan),"[0-3] (19-25, 15-25, 17-25)",https://stats.ncaa.org/contests/5667235/box_score,D-III
44,08/30/2024,Millikin (CCIW) vs Colorado Col. (SCAC),"[3-1] (25-20, 19-25, 25-19, 25-13)",https://stats.ncaa.org/contests/5667238/box_score,D-III
45,08/30/2024,Saint Benedict (MIAC) vs East Tex. Baptist (ASC),"[0-3] (20-25, 22-25, 12-25)",https://stats.ncaa.org/contests/5667239/box_score,D-III
46,08/30/2024,Mount Mary (C2C) vs Ripon (MWC),"[0-3] (15-25, 11-25, 9-25)",https://stats.ncaa.org/contests/5667241/box_score,D-III
47,08/30/2024,Wm. Paterson (NJAC) vs Chris. Newport (C2C),"[1-3] (10-25, 14-25, 25-16, 19-25)",https://stats.ncaa.org/contests/5667242/box_score,D-III
48,08/30/2024,York (PA) (MACs) vs Gettysburg (Centennial),"[0-3] (19-25, 12-25, 19-25)",https://stats.ncaa.org/contests/5667243/box_score,D-III
49,08/30/2024,Thomas (ME) (North Atlantic) vs Regis (MA) (Great Northeast),"[0-3] (20-25, 13-25, 17-25)",https://stats.ncaa.org/contests/5667244/box_score,D-III
50,08/30/2024,Smith (NEWMAC) vs Elmira (Empire 8),"[3-0] (25-18, 25-16, 25-11)",https://stats.ncaa.org/contests/5667245/box_score,D-III
51,08/30/2024,Wash. & Lee (ODAC) vs Berry (SAA),"[3-2] (17-25, 19-25, 25-20, 25-23, 15-13)",https://stats.ncaa.org/contests/5667246/box_score,D-III
52,08/30/2024,Penn St.-Schuylkill (nan) vs King's (PA) (MACs),"[0-3] (16-25, 16-25, 17-25)",https://stats.ncaa.org/contests/5667247/box_score,D-III
53,08/30/2024,Carthage (CCIW) vs Hamline (MIAC),"[3-0] (25-20, 25-15, 25-18)",https://stats.ncaa.org/contests/5667248/box_score,D-III
54,08/30/2024,Lebanon Valley (MACs) vs Haverford (Centennial),"[0-3] (21-25, 14-25, 16-25)",https://stats.ncaa.org/contests/5667249/box_score,D-III
55,08/30/2024,Dubuque (American Rivers) vs St. Catherine (MIAC),"[3-0] (29-27, 25-17, 25-23)",https://stats.ncaa.org/contests/5667250/box_score,D-III
56,08/30/2024,Wooster (NCAC) vs Earlham (HCAC),"[0-3] (24-26, 7-25, 16-25)",https://stats.ncaa.org/contests/5667251/box_score,D-III
57,08/30/2024,Hanover (HCAC) vs Maryville (TN) (CCS),"[3-1] (25-16, 16-25, 26-24, 25-11)",https://stats.ncaa.org/contests/5667253/box_score,D-III
58,08/30/2024,William Peace (USA South) vs Va. Wesleyan (ODAC),"[0-3] (19-25, 19-25, 21-25)",https://stats.ncaa.org/contests/5667255/box_score,D-III
59,08/30/2024,Pfeiffer (USA South) vs Huntingdon (CCS),"[3-0] (25-22, 25-21, 25-11)",https://stats.ncaa.org/contests/5667258/box_score,D-III
60,08/30/2024,Southwestern (TX) (SCAC) vs Elmhurst (CCIW),"[3-1] (25-22, 25-21, 24-26, 25-19)",https://stats.ncaa.org/contests/5667259/box_score,D-III
61,08/30/2024,Union (NY) (Liberty League) vs Occidental (SCIAC),"[3-0] (25-23, 25-20, 25-17)",https://stats.ncaa.org/contests/5667261/box_score,D-III
62,08/30/2024,Wis.-Superior (UMAC) vs Shenandoah (ODAC),"[3-0] (25-18, 25-16, 25-12)",https://stats.ncaa.org/contests/5667262/box_score,D-III
63,08/30/2024,St. Joseph's (Brkln) (Skyline) vs Bryn Mawr (Centennial),"[3-1] (25-18, 24-26, 25-19, 25-22)",https://stats.ncaa.org/contests/5667265/box_score,D-III
64,08/30/2024,Martin Luther (UMAC) vs Marian (WI) (NACC),"[2-3] (25-27, 21-25, 25-21, 25-20, 14-16)",https://stats.ncaa.org/contests/5667267/box_score,D-III
65,08/30/2024,Wash. & Jeff. (PAC) vs Anderson (IN) (HCAC),"[1-3] (22-25, 19-25, 25-7, 14-25)",https://stats.ncaa.org/contests/5667268/box_score,D-III
66,08/30/2024,Monmouth (IL) (MWC) vs Bluffton (HCAC),"[3-1] (31-29, 25-23, 21-25, 25-18)",https://stats.ncaa.org/contests/5667269/box_score,D-III
67,08/30/2024,Waynesburg (PAC) vs Olivet (Michigan Intercol. Ath. Assn.),"[2-3] (19-25, 25-21, 25-20, 16-25, 8-15)",https://stats.ncaa.org/contests/5667270/box_score,D-III
68,08/30/2024,Oberlin (NCAC) vs Kalamazoo (Michigan Intercol. Ath. Assn.),"[1-3] (23-25, 25-16, 16-25, 20-25)",https://stats.ncaa.org/contests/5667271/box_score,D-III
69,08/30/2024,Penn St.-Behrend (AMCC) vs Hiram (NCAC),"[0-3] (26-28, 18-25, 22-25)",https://stats.ncaa.org/contests/5667272/box_score,D-III
70,08/30/2024,St. Mary's (IN) (Michigan Intercol. Ath. Assn.) vs Penn St.-Altoona (AMCC),"[3-2] (25-22, 24-26, 25-21, 14-25, 15-8)",https://stats.ncaa.org/contests/5667273/box_score,D-III
71,08/30/2024,Kean (NJAC) vs Geneva (PAC),"[3-0] (25-12, 25-18, 25-17)",https://stats.ncaa.org/contests/5667274/box_score,D-III
72,08/30/2024,Plymouth St. (Little East) vs Plattsburgh St. (SUNYAC),"[3-0] (25-15, 25-13, 25-19)",https://stats.ncaa.org/contests/5667280/box_score,D-III
73,08/30/2024,Meredith (USA South) vs Averett (ODAC),"[3-2] (23-25, 16-25, 25-21, 26-24, 15-8)",https://stats.ncaa.org/contests/5667281/box_score,D-III
74,08/30/2024,Albion (Michigan Intercol. Ath. Assn.) vs Mount Union (OAC),"[0-3] (18-25, 23-25, 20-25)",https://stats.ncaa.org/contests/5667282/box_score,D-III
75,08/30/2024,Penn College (United East) vs Lycoming (Landmark),"[0-3] (12-25, 24-26, 14-25)",https://stats.ncaa.org/contests/5667283/box_score,D-III
76,08/30/2024,UMSV (Skyline) vs New Jersey City (NJAC),"[0-3] (20-25, 25-27, 16-25)",https://stats.ncaa.org/contests/5667284/box_score,D-III
77,08/30/2024,Lake Forest (MWC) vs Wis.-Whitewater (WIAC),"[0-3] (10-25, 14-25, 14-25)",https://stats.ncaa.org/contests/5667287/box_score,D-III
78,08/30/2024,Wis.-Stout (WIAC) vs Benedictine (IL) (NACC),"[3-0] (26-24, 25-23, 25-22)",https://stats.ncaa.org/contests/5667289/box_score,D-III
79,08/30/2024,Piedmont (CCS) vs Oglethorpe (SAA),"[0-3] (17-25, 15-25, 19-25)",https://stats.ncaa.org/contests/5667290/box_score,D-III
80,08/30/2024,St. John Fisher (Empire 8) vs Austin (SCAC),"[1-3] (20-25, 25-27, 25-20, 18-25)",https://stats.ncaa.org/contests/5667291/box_score,D-III
81,08/30/2024,Denison (NCAC) vs Carnegie Mellon (UAA),"[0-3] (14-25, 24-26, 19-25)",https://stats.ncaa.org/contests/5667293/box_score,D-III
82,08/30/2024,Carleton (MIAC) vs North Central (IL) (CCIW),"[0-3] (23-25, 23-25, 23-25)",https://stats.ncaa.org/contests/5667295/box_score,D-III
83,08/30/2024,St. Olaf (MIAC) vs Alma (Michigan Intercol. Ath. Assn.),"[3-0] (25-17, 25-22, 25-13)",https://stats.ncaa.org/contests/5667296/box_score,D-III
84,08/30/2024,Roanoke (ODAC) vs Methodist (USA South),"[3-2] (20-25, 18-25, 27-25, 25-23, 15-10)",https://stats.ncaa.org/contests/5667298/box_score,D-III
85,08/30/2024,SUNY Geneseo (Empire 8) vs Clark (MA) (NEWMAC),"[1-3] (20-25, 19-25, 26-24, 25-27)",https://stats.ncaa.org/contests/5667302/box_score,D-III
86,08/30/2024,Wis.-Eau Claire (WIAC) vs Susquehanna (Landmark),"[3-0] (25-20, 25-16, 25-23)",https://stats.ncaa.org/contests/5667303/box_score,D-III
87,08/30/2024,Neb. Wesleyan (American Rivers) vs McMurry (SCAC),"[3-0] (25-13, 25-10, 25-10)",https://stats.ncaa.org/contests/5667308/box_score,D-III
88,08/30/2024,Hollins (ODAC) vs Franciscan (PAC),"[3-2] (16-25, 25-15, 25-22, 10-25, 20-18)",https://stats.ncaa.org/contests/5667311/box_score,D-III
89,08/30/2024,Brevard (USA South) vs Concordia Chicago (NACC),"[3-2] (24-26, 25-20, 25-21, 20-25, 15-13)",https://stats.ncaa.org/contests/5667313/box_score,D-III
90,08/30/2024,Western New Eng. (CNE) vs Utica (Empire 8),"[3-1] (25-15, 25-18, 22-25, 29-27)",https://stats.ncaa.org/contests/5667316/box_score,D-III
91,08/30/2024,St. Scholastica (MIAC) vs Bethany Lutheran (UMAC),"[0-3] (12-25, 18-25, 20-25)",https://stats.ncaa.org/contests/5667318/box_score,D-III
92,08/30/2024,Trine (Michigan Intercol. Ath. Assn.) vs Northland (UMAC),"[3-0] (25-7, 25-13, 25-13)",https://stats.ncaa.org/contests/5667320/box_score,D-III
93,08/30/2024,LeTourneau (ASC) vs Heidelberg (OAC),"[3-1] (17-25, 25-22, 25-23, 25-23)",https://stats.ncaa.org/contests/5667322/box_score,D-III
94,08/30/2024,Howard Payne (ASC) vs Millsaps (SAA),"[3-0] (25-21, 25-17, 25-23)",https://stats.ncaa.org/contests/5667324/box_score,D-III
95,08/30/2024,Otterbein (OAC) vs Berea (HCAC),"[3-0] (25-22, 25-15, 25-20)",https://stats.ncaa.org/contests/5667325/box_score,D-III
96,08/30/2024,Whitworth (NWC) vs Redlands (SCIAC),"[3-0] (36-34, 25-22, 25-13)",https://stats.ncaa.org/contests/5667327/box_score,D-III
