,date,match,results,box_score_url
0,08/27/2024,Nebraska (Big Ten) vs Kentucky (SEC),"[3-1] (25-21, 22-25, 25-15, 25-20)",https://stats.ncaa.org/contests/5362360/box_score
1,08/27/2024,Wisconsin (Big Ten) vs Louisville (ACC),"[1-3] (25-18, 17-25, 24-26, 20-25)",https://stats.ncaa.org/contests/5689690/box_score
2,08/30/2024,Indiana (Big Ten) vs Kennesaw St. (CUSA),"[3-0] (25-18, 25-22, 25-16)",https://stats.ncaa.org/contests/5361296/box_score
3,08/30/2024,Northwestern (Big Ten) vs UNLV (Mountain West),"[2-3] (20-25, 25-17, 25-13, 21-25, 12-15)",https://stats.ncaa.org/contests/5361877/box_score
4,08/30/2024,Cincinnati (Big 12) vs Illinois (Big Ten),"[0-3] (10-25, 19-25, 14-25)",https://stats.ncaa.org/contests/5362108/box_score
5,08/30/2024,A&M-Corpus Christi (Southland) vs Nebraska (Big Ten),"[0-3] (9-25, 20-25, 15-25)",https://stats.ncaa.org/contests/5362361/box_score
6,08/30/2024,FIU (CUSA) vs Ohio St. (Big Ten),"[0-3] (22-25, 21-25, 14-25)",https://stats.ncaa.org/contests/5362652/box_score
7,08/30/2024,Liberty (CUSA) vs Iowa (Big Ten),"[0-3] (23-25, 23-25, 15-25)",https://stats.ncaa.org/contests/5365038/box_score
8,08/30/2024,Delaware (CAA) vs Michigan (Big Ten),"[2-3] (27-25, 25-22, 24-26, 25-27, 4-15)",https://stats.ncaa.org/contests/5374986/box_score
9,08/30/2024,Kansas St. (Big 12) vs Purdue (Big Ten),"[1-3] (21-25, 25-18, 22-25, 23-25)",https://stats.ncaa.org/contests/5375009/box_score
10,08/30/2024,UCLA (Big Ten) vs Georgia Tech (ACC),"[3-2] (25-20, 11-25, 10-25, 25-19, 16-14)",https://stats.ncaa.org/contests/5397296/box_score
11,08/30/2024,Pittsburgh (ACC) vs Oregon (Big Ten),"[3-0] (25-12, 27-25, 25-23)",https://stats.ncaa.org/contests/5397306/box_score
12,08/30/2024,Michigan St. (Big Ten) vs Northern Colo. (Big Sky),"[1-3] (21-25, 22-25, 25-23, 15-25)",https://stats.ncaa.org/contests/5406814/box_score
13,08/30/2024,South Carolina St. (MEAC) vs Nicholls (Southland),"[1-3] (17-25, 27-25, 15-25, 19-25)",https://stats.ncaa.org/contests/5667116/box_score
14,08/30/2024,CSU Bakersfield (Big West) vs Kansas City (Summit League),"[3-0] (25-20, 25-14, 25-21)",https://stats.ncaa.org/contests/5667117/box_score
15,08/30/2024,Tulane (AAC) vs New Mexico (Mountain West),"[1-3] (25-19, 26-28, 23-25, 23-25)",https://stats.ncaa.org/contests/5667118/box_score
16,08/30/2024,Prairie View (SWAC) vs Sam Houston (CUSA),"[0-3] (13-25, 19-25, 19-25)",https://stats.ncaa.org/contests/5667119/box_score
17,08/30/2024,New Hampshire (America East) vs LSU (SEC),"[2-3] (25-23, 25-23, 19-25, 17-25, 8-15)",https://stats.ncaa.org/contests/5667120/box_score
18,08/30/2024,Gardner-Webb (Big South) vs Norfolk St. (MEAC),"[0-3] (12-25, 22-25, 21-25)",https://stats.ncaa.org/contests/5667121/box_score
19,08/30/2024,Merrimack (MAAC) vs Binghamton (America East),"[0-3] (16-25, 14-25, 23-25)",https://stats.ncaa.org/contests/5667122/box_score
20,08/30/2024,North Ala. (ASUN) vs Auburn (SEC),"[0-3] (21-25, 21-25, 23-25)",https://stats.ncaa.org/contests/5667124/box_score
21,08/30/2024,Merrimack (MAAC) vs Bucknell (Patriot),"[0-3] (12-25, 18-25, 18-25)",https://stats.ncaa.org/contests/5667126/box_score
22,08/30/2024,Seton Hall (Big East) vs Ball St. (MAC),"[0-3] (19-25, 16-25, 19-25)",https://stats.ncaa.org/contests/5667127/box_score
23,08/30/2024,Central Ark. (ASUN) vs Tarleton St. (WAC),"[3-0] (25-16, 25-15, 25-13)",https://stats.ncaa.org/contests/5667128/box_score
24,08/30/2024,Portland (WCC) vs Stetson (ASUN),"[3-0] (29-27, 25-22, 25-14)",https://stats.ncaa.org/contests/5667129/box_score
25,08/30/2024,USC Upstate (Big South) vs Missouri St. (MVC),"[1-3] (15-25, 24-26, 25-22, 21-25)",https://stats.ncaa.org/contests/5667130/box_score
26,08/30/2024,UTRGV (Southland) vs Charlotte (AAC),"[3-0] (25-19, 25-13, 25-15)",https://stats.ncaa.org/contests/5667131/box_score
27,08/30/2024,Delaware St. (MEAC) vs Stony Brook (CAA),"[2-3] (18-25, 27-25, 20-25, 25-23, 5-15)",https://stats.ncaa.org/contests/5667132/box_score
28,08/30/2024,Houston Christian (Southland) vs Texas St. (Sun Belt),"[2-3] (25-19, 22-25, 25-22, 17-25, 12-15)",https://stats.ncaa.org/contests/5667133/box_score
29,08/30/2024,Rhode Island (Atlantic 10) vs Quinnipiac (MAAC),"[2-3] (25-23, 18-25, 15-25, 25-19, 9-15)",https://stats.ncaa.org/contests/5667135/box_score
30,08/30/2024,Saint Louis (Atlantic 10) vs Ole Miss (SEC),"[0-3] (14-25, 20-25, 19-25)",https://stats.ncaa.org/contests/5667136/box_score
31,08/30/2024,Southern Utah (WAC) vs Northern Ariz. (Big Sky),"[1-3] (11-25, 17-25, 25-17, 13-25)",https://stats.ncaa.org/contests/5667137/box_score
32,08/30/2024,Tennessee Tech (OVC) vs Austin Peay (ASUN),"[3-0] (25-22, 25-20, 25-18)",https://stats.ncaa.org/contests/5667138/box_score
33,08/30/2024,Southern Ind. (OVC) vs St. Thomas (MN) (Summit League),"[3-1] (19-25, 25-23, 25-20, 25-23)",https://stats.ncaa.org/contests/5667139/box_score
34,08/30/2024,Coppin St. (MEAC) vs Northeastern (CAA),"[3-0] (25-19, 26-24, 25-23)",https://stats.ncaa.org/contests/5667140/box_score
35,08/30/2024,Saint Francis (NEC) vs Duquesne (Atlantic 10),"[0-3] (19-25, 16-25, 21-25)",https://stats.ncaa.org/contests/5667141/box_score
36,08/30/2024,Xavier (Big East) vs App State (Sun Belt),"[2-3] (26-24, 19-25, 25-21, 17-25, 11-15)",https://stats.ncaa.org/contests/5667142/box_score
37,08/30/2024,NJIT (America East) vs Syracuse (ACC),"[0-3] (15-25, 14-25, 12-25)",https://stats.ncaa.org/contests/5667144/box_score
38,08/30/2024,Marist (MAAC) vs Old Dominion (Sun Belt),"[0-3] (15-25, 12-25, 17-25)",https://stats.ncaa.org/contests/5667146/box_score
39,08/30/2024,Abilene Christian (WAC) vs Baylor (Big 12),"[0-3] (11-25, 17-25, 14-25)",https://stats.ncaa.org/contests/5667147/box_score
40,08/30/2024,Lafayette (Patriot) vs Le Moyne (NEC),"[3-0] (25-11, 25-23, 25-21)",https://stats.ncaa.org/contests/5667148/box_score
41,08/30/2024,UC Irvine (Big West) vs North Dakota (Summit League),"[3-1] (19-25, 25-19, 25-19, 25-19)",https://stats.ncaa.org/contests/5667150/box_score
42,08/30/2024,Florida A&M (SWAC) vs South Dakota St. (Summit League),"[0-3] (21-25, 14-25, 19-25)",https://stats.ncaa.org/contests/5667151/box_score
43,08/30/2024,UNI (MVC) vs FIU (CUSA),"[3-0] (25-12, 25-11, 25-20)",https://stats.ncaa.org/contests/5667154/box_score
44,08/30/2024,North Dakota St. (Summit League) vs UAlbany (America East),"[0-3] (21-25, 23-25, 16-25)",https://stats.ncaa.org/contests/5667155/box_score
45,08/30/2024,Jackson St. (SWAC) vs Murray St. (MVC),"[3-1] (25-21, 12-25, 25-23, 25-23)",https://stats.ncaa.org/contests/5667157/box_score
46,08/30/2024,UT Martin (OVC) vs The Citadel (SoCon),"[2-3] (21-25, 23-25, 25-19, 25-23, 11-15)",https://stats.ncaa.org/contests/5667159/box_score
47,08/30/2024,Queens (NC) (ASUN) vs East Carolina (AAC),"[0-3] (11-25, 22-25, 25-27)",https://stats.ncaa.org/contests/5667160/box_score
48,08/30/2024,Miami (OH) (MAC) vs Lamar University (Southland),"[3-0] (28-26, 25-21, 25-14)",https://stats.ncaa.org/contests/5667163/box_score
49,08/30/2024,American (Patriot) vs Georgetown (Big East),"[3-0] (25-21, 25-23, 25-17)",https://stats.ncaa.org/contests/5667164/box_score
50,08/30/2024,Eastern Wash. (Big Sky) vs Utah Valley (WAC),"[0-3] (20-25, 25-27, 22-25)",https://stats.ncaa.org/contests/5667165/box_score
51,08/30/2024,Ark.-Pine Bluff (SWAC) vs Jacksonville St. (CUSA),"[0-3] (13-25, 18-25, 17-25)",https://stats.ncaa.org/contests/5667166/box_score
52,08/30/2024,Colgate (Patriot) vs Duke (ACC),"[2-3] (28-26, 17-25, 25-22, 19-25, 7-15)",https://stats.ncaa.org/contests/5667167/box_score
53,08/30/2024,Southeastern La. (Southland) vs BYU (Big 12),"[0-3] (15-25, 13-25, 15-25)",https://stats.ncaa.org/contests/5667168/box_score
54,08/30/2024,Charleston So. (Big South) vs Furman (SoCon),"[3-1] (25-21, 25-16, 20-25, 25-13)",https://stats.ncaa.org/contests/5667170/box_score
55,08/30/2024,Rider (MAAC) vs Temple (AAC),"[1-3] (24-26, 15-25, 25-22, 21-25)",https://stats.ncaa.org/contests/5667171/box_score
56,08/30/2024,Bryant (America East) vs Fla. Atlantic (AAC),"[3-2] (25-17, 10-25, 15-25, 25-19, 15-11)",https://stats.ncaa.org/contests/5667172/box_score
57,08/30/2024,Wichita St. (AAC) vs Kennesaw St. (CUSA),"[3-1] (21-25, 25-17, 25-16, 25-19)",https://stats.ncaa.org/contests/5667173/box_score
58,08/30/2024,Texas Tech (Big 12) vs Eastern Ky. (ASUN),"[3-0] (25-20, 25-19, 25-13)",https://stats.ncaa.org/contests/5667174/box_score
59,08/30/2024,UIW (Southland) vs SFA (Southland),"[0-3] (21-25, 19-25, 19-25)",https://stats.ncaa.org/contests/5667179/box_score
60,08/30/2024,Central Mich. (MAC) vs Lindenwood (OVC),"[3-2] (25-22, 25-21, 23-25, 24-26, 16-14)",https://stats.ncaa.org/contests/5667182/box_score
61,08/30/2024,Utah Tech (WAC) vs Denver (Summit League),"[3-2] (25-14, 17-25, 16-25, 25-21, 15-10)",https://stats.ncaa.org/contests/5667183/box_score
62,08/30/2024,Washington St. (Pac-12) vs Wyoming (Mountain West),"[2-3] (22-25, 25-19, 25-23, 17-25, 11-15)",https://stats.ncaa.org/contests/5667184/box_score
63,08/30/2024,High Point (Big South) vs Fairfield (MAAC),"[3-1] (22-25, 25-18, 25-23, 25-13)",https://stats.ncaa.org/contests/5667185/box_score
64,08/30/2024,Georgia (SEC) vs UC Santa Barbara (Big West),"[3-2] (20-25, 25-13, 25-16, 27-29, 15-13)",https://stats.ncaa.org/contests/5667186/box_score
65,08/30/2024,Manhattan (MAAC) vs Bethune-Cookman (SWAC),"[1-3] (16-25, 25-19, 17-25, 19-25)",https://stats.ncaa.org/contests/5667188/box_score
66,08/30/2024,Grambling (SWAC) vs Alabama (SEC),"[2-3] (12-25, 25-16, 25-20, 12-25, 9-15)",https://stats.ncaa.org/contests/5667189/box_score
67,08/30/2024,UTSA (AAC) vs William & Mary (CAA),"[1-3] (24-26, 21-25, 27-25, 21-25)",https://stats.ncaa.org/contests/5667191/box_score
68,08/30/2024,Southeast Mo. St. (OVC) vs Arkansas St. (Sun Belt),"[0-3] (20-25, 11-25, 14-25)",https://stats.ncaa.org/contests/5667192/box_score
69,08/30/2024,Little Rock (OVC) vs Tex. A&M-Commerce (Southland),"[3-1] (25-21, 22-25, 25-21, 25-18)",https://stats.ncaa.org/contests/5667193/box_score
70,08/30/2024,Northeastern (CAA) vs St. John's (NY) (Big East),"[1-3] (25-18, 21-25, 10-25, 12-25)",https://stats.ncaa.org/contests/5667194/box_score
71,08/30/2024,Robert Morris (Horizon) vs UNC Greensboro (SoCon),"[1-3] (15-25, 16-25, 25-15, 14-25)",https://stats.ncaa.org/contests/5667195/box_score
72,08/30/2024,Mississippi Val. (SWAC) vs Memphis (AAC),"[0-3] (13-25, 17-25, 10-25)",https://stats.ncaa.org/contests/5667196/box_score
73,08/30/2024,Bucknell (Patriot) vs Toledo (MAC),"[1-3] (20-25, 25-21, 15-25, 23-25)",https://stats.ncaa.org/contests/5667200/box_score
74,08/30/2024,Butler (Big East) vs Arizona St. (Big 12),"[1-3] (25-23, 7-25, 20-25, 17-25)",https://stats.ncaa.org/contests/5667204/box_score
75,08/30/2024,UMBC (America East) vs UC Davis (Big West),"[1-3] (23-25, 21-25, 25-21, 15-25)",https://stats.ncaa.org/contests/5667212/box_score
76,08/30/2024,Northwestern St. (Southland) vs Southern Miss. (Sun Belt),"[1-3] (20-25, 25-15, 15-25, 21-25)",https://stats.ncaa.org/contests/5667214/box_score
77,08/30/2024,Indiana St. (MVC) vs Georgia St. (Sun Belt),"[3-2] (19-25, 25-18, 26-24, 12-25, 15-12)",https://stats.ncaa.org/contests/5667215/box_score
78,08/30/2024,Ga. Southern (Sun Belt) vs Wofford (SoCon),"[3-1] (25-22, 26-24, 11-25, 25-12)",https://stats.ncaa.org/contests/5667217/box_score
