Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short,Number
Ashli Edmiston,Jr.,OH,5-8,"Wilsonville, OR",Wilsonville HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,9
Abby Christian,So.,L/DS,5-9,"Kansas City, MO",Liberty North HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,12
Sara Carrizales,Jr.,L/DS,5-8,"Arlington, TX",Arlington HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,13
Madeline Guffy,Sr.,S,5-6,"Krum, TX",Krum HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,10
Hannah Gonzalez,So.,MB,6-3,"Lucas, TX",Lovejoy HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,7
Rachel Koss,So.,S,5-11,"Appleton, WI",Freedom HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,4
Bryley Steinhilber,Sr.,OH,5-10,"Kennedale, TX",Kennedale HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,1
Alexis Strong,So.,OH,6-1,"Louisville, KY",Assumption HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,21
Izabelle Larson,So.,OH,5-11,"San Jose, CA",East Side Union HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,11
Courtney Church,Fr.,OH,6-0,"Driftwood, TX",Veritas Academy,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,5
Sasha Stotler,So.,MB,6-4,"Quincy, OH",Riverside HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,18
Paige Jones,Fr.,OH,5-8,"Odessa, TX",Compass Academy Charter School,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,16
Delanna Harper,Fr.,L/DS,5-2,"Mckinney, TX",Emerson HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,6
Annaleise Sevier,Fr.,OH,6-0,"Aubrey, TX",Aubrey HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,8
Sydney Payne,Fr.,S,5-9,"Argyle, TX",Argyle HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,14
Avery Thaler,Fr.,MB,5-10,"Fairfield, TX",Fairfield HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,2
Nieko Thomas,Jr.,MB,6-2,"West Hills, CA",Taft HS,2,Abilene Christian University,923.0,Western Athletic Conference,www.acu.edu,www.acusports.com,TX,D-I,2024-25,Abilene Christian,WAC,28
Sammie Sabra,Jr.,OH,5-9,"San Pedro, CA",Mary Star of the Sea,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,10
Ellen Kinnaird,Sr.,RS,5-11,"Lewis Center, OH",Olentangy,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,6
Lauren Baker,Sr.,OH,5-11,"Osceola, IN",Penn,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,20
Sophie Twigg,So.,L,5-9,"Sylvania, OH",Bowling Green,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,11
Vanessa Del Real,So.,L,5-6,"Crown Point, IN",Crown Point,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,1
Chidera Ozoh,So.,MB,6-0,"Hazel Crest, IL",Homewood Flossmoor,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,22
Sarah Bettis,So.,OH,6-1,"Blissfield, MI",Blissfield,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,15
Melisa Tore,Sr.,MB,6-3,"Istanbul, Turkey",Anabilim,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,9
Gabby Brissett,Jr.,RS,5-10,"Coral Springs, FL",Calvary Christian Academy,5,University of Akron,875.0,Mid-American Conference,uakron.edu,gozips.com,OH,D-I,2024-25,Akron,MAC,12
