date,match,results,box_score_url,div
08/30/2024,Saint Joseph (CT) (Great Northeast) vs Eastern Conn. St. (Little East),"[0-3] (12-25, 14-25, 10-25)",https://stats.ncaa.org/contests/5667515/box_score,D-III
08/30/2024,Linfield (NWC) vs Multnomah (nan),"[3-1] (25-18, 29-27, 18-25, 25-14)",https://stats.ncaa.org/contests/5667333/box_score,D-III
08/30/2024,Mary Washington (C2C) vs Va. Wesleyan (ODAC),"[0-3] (16-25, 19-25, 19-25)",https://stats.ncaa.org/contests/5667525/box_score,D-III
08/30/2024,Concordia Wisconsin (NACC) vs Hamline (MIAC),"[3-1] (25-23, 25-22, 21-25, 25-20)",https://stats.ncaa.org/contests/5667504/box_score,D-III
08/30/2024,Russell Sage (Empire 8) vs SUNY Morrisville (SUNYAC),"[2-3] (17-25, 18-25, 25-21, 25-20, 10-15)",https://stats.ncaa.org/contests/5667345/box_score,D-III
08/30/2024,Hartwick (Empire 8) vs Lycoming (Landmark),"[3-2] (25-17, 17-25, 25-16, 21-25, 15-9)",https://stats.ncaa.org/contests/5667579/box_score,D-III
08/30/2024,Capital (OAC) vs DePauw (NCAC),"[0-3] (16-25, 14-25, 21-25)",https://stats.ncaa.org/contests/5667428/box_score,D-III
08/30/2024,St. Scholastica (MIAC) vs Central (IA) (American Rivers),"[0-3] (17-25, 19-25, 13-25)",https://stats.ncaa.org/contests/5667574/box_score,D-III
08/30/2024,MCLA (MASCAC) vs Chapman (SCIAC),"[0-3] (13-25, 12-25, 15-25)",https://stats.ncaa.org/contests/5667471/box_score,D-III
08/30/2024,Bob Jones (nan) vs Roanoke (ODAC),"[2-3] (25-18, 26-24, 21-25, 17-25, 13-15)",https://stats.ncaa.org/contests/5667441/box_score,D-III
08/30/2024,Muskingum (OAC) vs Allegheny (PAC),"[2-3] (25-14, 18-25, 16-25, 25-17, 9-15)",https://stats.ncaa.org/contests/5667380/box_score,D-III
08/30/2024,Whittier (SCIAC) vs UW-River Falls (WIAC),"[3-1] (13-25, 25-13, 25-23, 27-25)",https://stats.ncaa.org/contests/5667202/box_score,D-III
08/30/2024,Otterbein (OAC) vs Wittenberg (NCAC),"[3-0] (25-16, 25-19, 25-23)",https://stats.ncaa.org/contests/5667517/box_score,D-III
08/30/2024,Mary Hardin-Baylor (ASC) vs Pacific (OR) (NWC),"[3-0] (25-23, 25-19, 25-23)",https://stats.ncaa.org/contests/5667355/box_score,D-III
08/30/2024,Misericordia (MACs) vs Scranton (Landmark),"[0-3] (17-25, 19-25, 19-25)",https://stats.ncaa.org/contests/5667353/box_score,D-III
08/30/2024,Husson (North Atlantic) vs Babson (NEWMAC),"[0-3] (8-25, 12-25, 10-25)",https://stats.ncaa.org/contests/5667351/box_score,D-III
08/30/2024,Wheaton (MA) (NEWMAC) vs Stockton (NJAC),"[2-3] (21-25, 20-25, 25-20, 25-22, 14-16)",https://stats.ncaa.org/contests/5667368/box_score,D-III
