#,Name,Class,Position,Height,Hometown,High School,team_id,conference_short,conference_name,team_name,division,team_short
1,Bryley Steinhilber,Sr.,OH,5-10,"Kennedale, TX",Kennedale HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
28,Nieko Thomas,Jr.,MB,6-2,"West Hills, CA",Taft HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
9,Ashli Edmiston,Jr.,OH,5-8,"Wilsonville, OR",Wilsonville HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
10,Madeline Guffy,Sr.,S,5-6,"Krum, TX",Krum HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
13,Sara Carrizales,Jr.,L/DS,5-8,"Arlington, TX",Arlington HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
21,Alexis Strong,So.,OH,6-1,"Louisville, KY",Assumption HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
18,Sasha Stotler,So.,MB,6-4,"Quincy, OH",Riverside HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
7,Hannah Gonzalez,So.,MB,6-3,"Lucas, TX",Lovejoy HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
12,Abby Christian,So.,L/DS,5-9,"Kansas City, MO",Liberty North HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
4,Rachel Koss,So.,S,5-11,"Appleton, WI",Freedom HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
11,Izabelle Larson,So.,OH,5-11,"San Jose, CA",East Side Union HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
2,Avery Thaler,Fr.,MB,5-10,"Fairfield, TX",Fairfield HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
5,Courtney Church,Fr.,OH,6-0,"Driftwood, TX",Veritas Academy,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
6,Delanna Harper,Fr.,L/DS,5-2,"Mckinney, TX",Emerson HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
8,Annaleise Sevier,Fr.,OH,6-0,"Aubrey, TX",Aubrey HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
14,Sydney Payne,Fr.,S,5-9,"Argyle, TX",Argyle HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
16,Paige Jones,Fr.,OH,5-8,"Odessa, TX",Compass Academy Charter School,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
2,Isabelle Percoco,Sr.,RS,6-0,"Charlotte, NC",South Mecklenburg,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
9,Melisa Tore,Sr.,MB,6-3,"Istanbul, Turkey",Anabilim,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
20,Lauren Baker,Sr.,OH,5-11,"Osceola, IN",Penn,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
10,Sammie Sabra,Jr.,OH,5-9,"San Pedro, CA",Mary Star of the Sea,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
17,Karleighana Jones,Sr.,MB,6-3,"White Plains, NY",White Plains,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
6,Ellen Kinnaird,Sr.,RS,5-11,"Lewis Center, OH",Olentangy,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
12,Gabby Brissett,Jr.,RS,5-10,"Coral Springs, FL",Calvary Christian Academy,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
