"08/30/2024 06:00 PM","Campbell University","Abilene Christian University","John W. Pope Jr. Convocation Center"
"08/30/2024 12:00 PM","Baylor University","Abilene Christian University","Ferrell Center"
"09/01/2024 12:00 PM","The University of Tulsa","Abilene Christian University","Donald W. Reynolds Center"
"09/06/2024 01:30 PM","University of the Incarnate Word","Abilene Christian University","McDermott Center"
"09/06/2024 08:00 PM","University of Texas at San Antonio","Abilene Christian University","Convocation Center"
"09/07/2024 11:00 AM","College of the Holy Cross","Abilene Christian University","Coach George Blaney ’61 Gymnasium"
"09/13/2024 09:00 PM","New Mexico State University","Abilene Christian University","Pan American Center"
"09/13/2024 12:00 PM","University of Arizona","Abilene Christian University","McKale Center"
"09/13/2024 TBA","Texas Southern University","Abilene Christian University","Health & P.E. Arena"
"09/19/2024 08:00 PM","Abilene Christian University","Alabama A&M University","Moody Coliseum"
"09/20/2024 07:00 PM","Abilene Christian University","Oral Roberts University","Moody Coliseum"
"09/26/2024 08:00 PM","Utah Tech University","Abilene Christian University","Burns Arena"
"09/28/2024 03:00 PM","Southern Utah University","Abilene Christian University","America First Event Center"
"10/03/2024 07:00 PM","Abilene Christian University","California Baptist University","Moody Coliseum"
"10/05/2024 12:00 PM","Abilene Christian University","Seattle University","Moody Coliseum"
"10/10/2024 07:00 PM","Tarleton State University","Abilene Christian University","Wisdom Volleyball Gym"
"10/12/2024 02:00 PM","Abilene Christian University","University of Texas at Arlington","Moody Coliseum"
"10/17/2024 08:00 PM","Utah Valley University","Abilene Christian University","Lockhart Arena"
"10/19/2024 04:00 PM","Seattle University","Abilene Christian University","Redhawk Center"
"10/24/2024 07:00 PM","Abilene Christian University","Utah Tech University","Moody Coliseum"
"10/28/2024 07:00 PM","Abilene Christian University","Tarleton State University","Moody Coliseum"
"10/31/2024 07:00 PM","Abilene Christian University","Grand Canyon University","Moody Coliseum"
"11/04/2024 07:00 PM","University of Texas at Arlington","Abilene Christian University","College Park Center"
"11/07/2024 07:00 PM","Abilene Christian University","Utah Valley University","Moody Coliseum"
"11/09/2024 02:00 PM","Abilene Christian University","Southern Utah University","Moody Coliseum"
"11/14/2024 08:00 PM","Grand Canyon University","Abilene Christian University","GCU Arena"
"11/16/2024 04:00 PM","California Baptist University","Abilene Christian University","Van Dyne Gym"
"09/06/2024 10:00 PM","Fresno Pacific University","Academy of Art University","Special Events Center"
"09/06/2024 12:00 PM","California State University, Chico","Academy of Art University","Art Acker Gym"
"09/07/2024 02:30 PM","California State University, Stanislaus","Academy of Art University","Fitzpatrick Arena"
"09/13/2024 03:00 PM","Western New Mexico University","Academy of Art University","Drag's Court"
"09/13/2024 11:00 AM","Texas A&M University-Kingsville","Academy of Art University","Steinke Center"
"09/14/2024 03:00 PM","Fort Lewis College","Academy of Art University","Fort Lewis Fieldhouse"
"09/14/2024 11:00 AM","Western Colorado University","Academy of Art University","Paul Wright Gymnasium"
"09/20/2024 01:00 AM","University of Hawaii at Hilo","Academy of Art University","Vulcan Gym"
"09/21/2024 TBA","Hawaii Pacific University","Academy of Art University","HPU Shark Tank"
"09/26/2024 08:00 PM","Dominican University of California","Academy of Art University","Conlan Center"
"09/29/2024 04:00 PM","Academy of Art University","Chaminade University","Kezar Pavilion"
"10/01/2024 09:30 PM","Academy of Art University","University of Hawaii at Hilo","Kezar Pavilion"
"10/05/2024 05:00 PM","Academy of Art University","Hawaii Pacific University","Kezar Pavilion"
"10/09/2024 09:30 PM","Academy of Art University","Concordia University Irvine","Kezar Pavilion"
"10/11/2024 09:30 PM","Academy of Art University","Vanguard University ","Kezar Pavilion"
"10/12/2024 05:00 PM","Academy of Art University","Point Loma Nazarene University","Kezar Pavilion"
"10/19/2024 10:00 PM","Menlo College","Academy of Art University","Haynes-Prim Pavilion"
"10/22/2024 09:30 PM","Academy of Art University","Fresno Pacific University","Kezar Pavilion"
"10/24/2024 09:00 PM","Jessup University ","Academy of Art University","Warrior Arena"
"10/25/2024 09:30 PM","Academy of Art University","Jessup University ","Kezar Pavilion"
"10/26/2024 10:00 PM","Academy of Art University","Menlo College","Kezar Pavilion"
"11/01/2024 TBA","Biola University","Academy of Art University","Chase Gymnasium"
"11/02/2024 05:00 PM","Westmont College","Academy of Art University","Murchison Gymnasium"
"11/13/2024 09:30 PM","Academy of Art University","Dominican University of California","Kezar Pavilion"
"11/16/2024 05:00 PM","Fresno Pacific University","Academy of Art University","Special Events Center"
"11/22/2024 09:00 PM","Azusa Pacific University","Academy of Art University","Felix Event Center"
"11/23/2024 05:00 PM","Vanguard University ","Academy of Art University","Freed Center for Leadership and Service"
"09/05/2024 08:00 PM","Midwestern State University","Adams State University","D.L. Ligon Coliseum"
"09/06/2024 04:00 PM","Northwestern Oklahoma State University","Adams State University","Percefull Fieldhouse"
"09/06/2024 12:00 PM","Western New Mexico University","Adams State University","Drag's Court"
"09/07/2024 02:00 PM","Southern Arkansas University","Adams State University","W.T. Watson Athletic Center"
"09/11/2024 08:00 PM","Adams State University","Texas A&M University-Kingsville","Plachy Hall"
"09/13/2024 04:30 PM","California State University, Dominguez Hills","Adams State University",Torodome
"09/13/2024 11:30 AM","Angelo State University","Adams State University","Junell Center/Stephens Arena"
"09/14/2024 01:00 PM","Minnesota State University Moorhead","Adams State University","Alex Nemzek Fieldhouse"
"09/14/2024 06:00 PM","California State Polytechnic University, Humboldt","Adams State University","Lumberjack Arena"
"09/20/2024 08:00 PM","New Mexico Highlands University","Adams State University","John A. Wilson Complex"
"09/24/2024 08:00 PM","Adams State University","Colorado State University Pueblo","Plachy Hall"
"09/27/2024 08:00 PM","Adams State University","South Dakota School of Mines & Technology","Plachy Hall"
"09/28/2024 08:00 PM","Adams State University","Black Hills State University","Plachy Hall"
"10/01/2024 08:00 PM","Adams State University","New Mexico Highlands University","Plachy Hall"
"10/04/2024 08:00 PM","Adams State University","Fort Lewis College","Plachy Hall"
"10/11/2024 08:00 PM","Westminster University (Utah)","Adams State University","Behnken Field House"
"10/12/2024 06:00 PM","Colorado Mesa University","Adams State University","Brownson Arena"
"10/18/2024 08:00 PM","Adams State University","Colorado Christian University","Plachy Hall"
"10/19/2024 08:00 PM","Adams State University","Chadron State College","Plachy Hall"
"10/22/2024 08:00 PM","Fort Lewis College","Adams State University","Fort Lewis Fieldhouse"
"10/25/2024 08:00 PM","Metropolitan State University of Denver","Adams State University","Auraria Event Center"
"10/26/2024 07:00 PM","Colorado School of Mines","Adams State University","Lockridge Arena"
"10/31/2024 08:00 PM","University of Colorado, Colorado Springs","Adams State University","Gallogly Events Center"
"11/01/2024 08:00 PM","Fort Lewis College","Adams State University","Fort Lewis Fieldhouse"
"11/07/2024 08:00 PM","Adams State University","Western Colorado University","Plachy Hall"
"11/15/2024 09:00 PM","Regis University (Colorado)","Adams State University","Regis Univ. Fieldhouse"
"11/16/2024 05:00 PM","University of Colorado, Colorado Springs","Adams State University","Gallogly Events Center"
"09/05/2024 07:00 PM","Wayne State College (Nebraska)","Adelphi University","Rice Auditorium"
"09/06/2024 07:30 PM","Eckerd College","Adelphi University","McArthur Center"
"09/06/2024 12:00 PM","Saint Leo University","Adelphi University","Marion Bowman Activities Center"
"09/07/2024 09:30 AM","Emory & Henry University","Adelphi University","John Rutledge King Center"
"09/10/2024 05:00 PM","Holy Family University","Adelphi University","Campus Center"
"09/13/2024 01:00 PM","Shippensburg University of Pennsylvania","Adelphi University","Heiges Field House"
"09/13/2024 07:00 PM","Ashland University","Adelphi University","Charles Kates Gymnasium"
"09/14/2024 03:00 PM","West Virginia State University","Adelphi University","Walker Convocation Center"
"09/14/2024 11:00 AM","Lock Haven University of Pennsylvania","Adelphi University","Thomas Field House"
"09/17/2024 07:00 PM","Adelphi University","Queens College (New York)","Center for Recreation and Sport"
"09/20/2024 06:00 PM","Adelphi University","Lewis University","Center for Recreation and Sport"
"09/21/2024 03:00 PM","Adelphi University","Wilmington University (Delaware)","Center for Recreation and Sport"
"09/24/2024 07:00 PM","Mercy University","Adelphi University","Neil Judge Student Athlete Center"
"09/26/2024 05:00 PM","Caldwell University","Adelphi University","George R. Newman Center"
"09/30/2024 07:00 PM","Adelphi University","University of Bridgeport","Center for Recreation and Sport"
"10/05/2024 01:00 PM","American International College","Adelphi University","Henry A. Butova Gymnasium"
"10/08/2024 07:00 PM","Adelphi University","Pace University","Center for Recreation and Sport"
"10/10/2024 07:00 PM","Adelphi University","Georgian Court University","Center for Recreation and Sport"
"10/12/2024 01:00 PM","Bentley University","Adelphi University","Charles A. Dana Center"
"10/15/2024 07:00 PM","Adelphi University","Assumption University","Center for Recreation and Sport"
"10/19/2024 11:00 AM","Saint Anselm College","Adelphi University","Stoutenburgh Gymnasium"
"10/22/2024 07:00 PM","Molloy University","Adelphi University","Quealy Gymnasium"
"10/26/2024 01:00 PM","Adelphi University","Franklin Pierce University","Center for Recreation and Sport"
"10/29/2024 07:00 PM","University of New Haven","Adelphi University","Charger Gymnasium"
"11/04/2024 05:00 PM","Bloomfield College","Adelphi University","Bloomfield College Gym"
"11/07/2024 07:00 PM","Adelphi University","Thomas Jefferson University","Center for Recreation and Sport"
"11/09/2024 01:00 PM","Saint Michael's College","Adelphi University","Ross Sports Center"
"11/12/2024 07:00 PM","Adelphi University","Southern Connecticut State University","Center for Recreation and Sport"
