team_name,conference_short,school_athletic_url,conference_name,division
"Binghamton University",AE,www.bubearcats.com,"America East Conference",D-I
"Bryant University",AE,www.bryantbulldogs.com,"America East Conference",D-I
"New Jersey Institute of Technology",AE,www.njithighlanders.com,"America East Conference",D-I
"University at Albany",AE,www.ualbanysports.com,"America East Conference",D-I
"University of Maryland, Baltimore County",AE,UMBCRetrievers.com,"America East Conference",D-I
"University of New Hampshire",AE,www.unhwildcats.com,"America East Conference",D-I
"East Carolina University",AAC,www.ecupirates.com,"American Athletic Conference",D-I
"Florida Atlantic University",AAC,www.fausports.com,"American Athletic Conference",D-I
"Rice University",AAC,www.riceowls.com,"American Athletic Conference",D-I
"Temple University",AAC,www.owlsports.com,"American Athletic Conference",D-I
"The University of North Carolina at Charlotte",AAC,www.charlotte49ers.com,"American Athletic Conference",D-I
"The University of Tulsa",AAC,www.tulsahurricane.com,"American Athletic Conference",D-I
"Tulane University",AAC,www.tulanegreenwave.com,"American Athletic Conference",D-I
"University of Alabama at Birmingham",AAC,www.uabsports.com,"American Athletic Conference",D-I
"University of Memphis",AAC,www.gotigersgo.com,"American Athletic Conference",D-I
"University of North Texas",AAC,www.meangreensports.com,"American Athletic Conference",D-I
"University of South Florida",AAC,www.gousfbulls.com/,"American Athletic Conference",D-I
"University of Texas at San Antonio",AAC,www.goutsa.com,"American Athletic Conference",D-I
"Wichita State University",AAC,www.goshockers.com,"American Athletic Conference",D-I
"Davidson College",A-10,www.davidsonwildcats.com,"Atlantic 10 Conference",D-I
"Duquesne University",A-10,www.GoDuquesne.com,"Atlantic 10 Conference",D-I
"Fordham University",A-10,www.fordhamsports.com,"Atlantic 10 Conference",D-I
"George Mason University",A-10,www.gomason.com,"Atlantic 10 Conference",D-I
"George Washington University",A-10,www.gwsports.com/index.html,"Atlantic 10 Conference",D-I
"Loyola University Chicago",A-10,www.loyolaramblers.com,"Atlantic 10 Conference",D-I
"Saint Louis University",A-10,www.slubillikens.com,"Atlantic 10 Conference",D-I
"University of Dayton",A-10,www.daytonflyers.com,"Atlantic 10 Conference",D-I
"University of Rhode Island",A-10,www.gorhody.com,"Atlantic 10 Conference",D-I
"Virginia Commonwealth University",A-10,www.vcuathletics.com,"Atlantic 10 Conference",D-I
"Boston College",ACC,www.bceagles.com,"Atlantic Coast Conference",D-I
"Clemson University",ACC,clemsontigers.com,"Atlantic Coast Conference",D-I
"Duke University",ACC,www.goduke.com,"Atlantic Coast Conference",D-I
"Florida State University",ACC,www.seminoles.com,"Atlantic Coast Conference",D-I
"Georgia Institute of Technology",ACC,www.ramblinwreck.com,"Atlantic Coast Conference",D-I
"North Carolina State University",ACC,www.gopack.com,"Atlantic Coast Conference",D-I
"Southern Methodist University",ACC,www.smumustangs.com,"Atlantic Coast Conference",D-I
"Stanford University",ACC,gostanford.com/,"Atlantic Coast Conference",D-I
"Syracuse University",ACC,cuse.com,"Atlantic Coast Conference",D-I
"University of California, Berkeley",ACC,www.calbears.com,"Atlantic Coast Conference",D-I
"University of Louisville",ACC,www.gocards.com,"Atlantic Coast Conference",D-I
"University of Miami (Florida)",ACC,miamihurricanes.com/,"Atlantic Coast Conference",D-I
"University of North Carolina, Chapel Hill",ACC,www.goheels.com,"Atlantic Coast Conference",D-I
"University of Notre Dame",ACC,www.und.com,"Atlantic Coast Conference",D-I
"University of Pittsburgh",ACC,www.pittsburghpanthers.com,"Atlantic Coast Conference",D-I
"University of Virginia",ACC,www.virginiasports.com,"Atlantic Coast Conference",D-I
"Virginia Polytechnic Institute and State University",ACC,www.hokiesports.com,"Atlantic Coast Conference",D-I
"Wake Forest University",ACC,www.godeacs.com,"Atlantic Coast Conference",D-I
"Austin Peay State University",ASUN,www.letsgopeay.com,"Atlantic Sun Conference",D-I
"Bellarmine University",ASUN,athletics.bellarmine.edu,"Atlantic Sun Conference",D-I
"Eastern Kentucky University",ASUN,www.ekusports.com,"Atlantic Sun Conference",D-I
"Florida Gulf Coast University",ASUN,fgcuathletics.com/,"Atlantic Sun Conference",D-I
"Jacksonville University",ASUN,www.judolphins.com,"Atlantic Sun Conference",D-I
"Lipscomb University",ASUN,www.lipscombsports.com,"Atlantic Sun Conference",D-I
"Queens University of Charlotte",ASUN,www.queensathletics.com,"Atlantic Sun Conference",D-I
"Stetson University",ASUN,www.gohatters.com,"Atlantic Sun Conference",D-I
"University of Central Arkansas",ASUN,www.ucasports.com,"Atlantic Sun Conference",D-I
"University of North Alabama",ASUN,www.roarlions.com,"Atlantic Sun Conference",D-I
"University of North Florida",ASUN,www.unfospreys.com,"Atlantic Sun Conference",D-I
"University of West Georgia",ASUN,www.uwgathletics.com,"Atlantic Sun Conference",D-I
"Arizona State University","Big 12",thesundevils.com,"Big 12 Conference",D-I
"Baylor University","Big 12",www.baylorbears.com,"Big 12 Conference",D-I
"Brigham Young University","Big 12",byucougars.com,"Big 12 Conference",D-I
"Iowa State University","Big 12",www.cyclones.com,"Big 12 Conference",D-I
