team_name,team_short,conference_name,conference_short,level,division,sportRegion,school_athletic_url
York College (New York),York (NY),City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.yorkathletics.com
Hilbert College,Hilbert,Allegheny Mountain Collegiate Conference,AMCC,NCAA Men,III,REGION III,www.hilberthawks.com
"University of Hawaii, Manoa",Hawaii,Big West Conference,Big West,NCAA Men,I,WEST REGION,hawaiiathletics.com
Harvard University,Harvard,Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,I,EAST REGION,gocrimson.com
Greenville University,Greenville,Independent,DIII Independent,NCAA Men,III,UNASSIGNED,www.greenville.edu/athletics
Grand Canyon University,Grand Canyon,Mountain Pacific Sports Federation,MPSF,NCAA Men,I,WEST REGION,www.gculopes.com
George Mason University,George Mason,Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,I,EAST REGION,www.gomason.com
Geneva College,Geneva,Allegheny Mountain Collegiate Conference,PAC,NCAA Men,III,REGION III,athletics.geneva.edu
Fort Valley State University,Fort Valley St.,Southern Intercol. Ath. Conf.,SIAC,NCAA Men,II,UNASSIGNED,fvsusports.com/index.aspx
"Fairleigh Dickinson University, Metropolitan Campus",FDU,Northeast Conference,NEC,NCAA Men,I,UNASSIGNED,www.fduknights.com
Erskine College,Erskine,Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.erskinesports.com
Endicott College,Endicott,New England Volleyball Conference,NEVC,NCAA Men,III,REGION I,www.ecgulls.com
Emmanuel College (Massachusetts),Emmanuel (MA),Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,www.goecsaints.com
Emmanuel University (Georgia),Emmanuel (GA),Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.goeclions.com
Emerson College,Emerson,Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,www.emersonlions.com
Elms College,Elms,Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,ecblazers.com
Elmira College,Elmira,United Volleyball Conference,UVC,NCAA Men,III,REGION II,athletics.elmira.edu
Elizabethtown College,Elizabethtown,Continental Volleyball Conference,CVC,NCAA Men,III,REGION III,www.etownbluejays.com
Edward Waters University,Edward Waters,Southern Intercol. Ath. Conf.,SIAC,NCAA Men,II,UNASSIGNED,www.ewutigerpride.com
Edgewood College,Edgewood,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.EdgewoodCollegeEagles.com
Hiram College,Hiram,Allegheny Mountain Collegiate Conference,PAC,NCAA Men,III,REGION III,www.hiramterriers.com
Eastern University,Eastern,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.goeasterneagles.com
Hobart and William Smith Colleges,Hobart,United Volleyball Conference,UVC,NCAA Men,III,REGION II,www.hwsathletics.com
Houghton University,Houghton,Independent,DIII Independent,NCAA Men,III,REGION II,athletics.houghton.edu
Long Beach State University,Long Beach St.,Big West Conference,Big West,NCAA Men,I,WEST REGION,longbeachstate.com
Lindenwood University,Lindenwood,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,I,MIDWEST REGION,lindenwoodlions.com
Lincoln Memorial University,Lincoln Memorial,Independent,DI Independent,NCAA Men,II,EAST REGION,www.lmurailsplitters.com
Lewis University,Lewis,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,II,MIDWEST REGION,www.lewisflyers.com
Lehman College,Lehman,City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.lehmanathletics.com
