Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short,Number
Chandra Reed,Sr.,MB,6-0,"Thrall, TX",Thrall High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,17
Katherine Von Kraut,Jr.,RS,6-0,"Denver, CO",Cherry Creek High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,0
Maggie Carroll,Jr.,OPP,5-6,"Fremont, CA",American High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,96
Kyriah Trefren,Fr.,L/DS,5-3,"Simi Valley, CA",Royal High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,22
Katelyn Onespot-Danforth,Jr.,S,5-9,"Helena, MT",Helena High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,99
Alohi Garcia,So.,MB,5-10,"Haleiwa, HI",Waialua High & Intermediate School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,4
Sofia Stemberga,Sr.,RS,5-10,"San Francisco, CA",Capuchino High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,12
Lina Ellila,Sr.,S,5-8,"Helsinki, Finland",Pohjois-Haaga's Co-ed School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,10
Kaia Fittz,Jr.,MB,6-1,"Redondo Beach, CA",Redondo Union High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,97
Elyse Day,Jr.,DS,5-6,"Carson, CA",Bishop Montgomery High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,6
Nina Garcia,Sr.,S,5-4,"Las Vegas, NV",Southwest Career and Technical Academy,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,11
Elly McInerney,Sr.,S,5-9,"Melbourne, Australia",Ivanhoe Grammar School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,7
Zoe Arnold,So.,MB,5-10,"Los Angeles, CA",Penn Foster,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,8
LC-Reece Nakagawa,So.,L,5-7,"Mililani, HI",Mililani High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,5
Fina Tuinauvai,Jr.,MB,5-8,"Oakland, CA",James Logan High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,2
Mireya Kawaguchi,Fr.,L/DS,5-3,"Redmond, WA",Redmond High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,1
Paola Divis,So.,OH,5-10,"Katowice, Poland",X Liceum W Katowicach,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,9
Kerrigan Habing,Fr.,OH,5-10,"Fort Myers, FL",Bishop Verot High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,15
Kendall Lee,Fr.,RS,6-0,"Foster City, CA",Design Tech High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,98
Claire Ricard,Sr.,OPP,5-11,"Benson, MN",Benson High School,30123,Academy of Art University,19591.0,Pacific West Conference,www.academyart.edu,www.artuathletics.com,CA,D-II,2024-25,Academy of Art,PacWest,13
Katie Bauer,So.,MB,6-1,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,17
Peyton Priddy,Fr.,S,5-7,"Monument, CO",Saint Mary's,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,4
Nora Conway,Fr.,MB,5-10,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,6
Makylee Wilson,Jr.,OH,5-11,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,15
Ellie Miller,Fr.,S,5-6,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,21
Angela Youngs,Sr.,OH,6-0,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,9
Keely- Shae Sapiga,Sr.,L,5-3,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,5
Madeleine Benally,Sr.,S,5-9,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,7
Remi Vargas,Sr.,S,5-6,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,20
Cindy Garcia,Sr.,OH,6-0,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,12
Sierra Leone Sanchez,Sr.,L,5-1,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,1
Natalie Gallegos,Sr.,MB,6-2,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,11
Anna Huggins,Sr.,OH,5-7,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,2
Morgan Bruner,Jr.,MB,5-11,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,8
Ariel Barrera,Fr.,OH,5-9,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,10
Hadleigh Richardson,Jr.,OH,6-4,,,929,Adams State University,13128.0,Rocky Mountain Athletic Conference,www.adams.edu,www.asugrizzlies.com,CO,D-II,2024-25,Adams St.,RMAC,16
Delaney Kiendra,Sr.,MB,6-0,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,19
Jaydin Nowak,Sr.,DS,5-7,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,1
Macarty McQueen,Jr.,OH,5-10,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,17
Jamaya Harris,Sr.,DS,5-7,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,4
Kambel Fiser,Sr.,S,5-11,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,11
Katie Brokes,So.,L/DS,5-5,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,20
Madeleine Chaapel,So.,OH,6-0,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,7
Lexi Demirovic,Jr.,MB,5-10,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,5
Kalena Ricketts,Sr.,MB,6-0,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,3
Bella Meier,Fr.,S,5-10,"Laporte, IN",Carmel HS,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,18
Emilia Cascapera,Fr.,OH,5-11,"Peekskill, NY",Our Lady of Lourdes HS,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,6
Mackenzie Casey,Fr.,MB,5-11,"Lynbrook, NY",Lynbrook Senior HS,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,10
Elsa Richards,Fr.,S,6-0,"Wilmington, MA",Essex Technical,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,12
Melana Bigelow,Fr.,OH,6-0,"Cincinnati, OH",Turpin HS,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,13
Noelle Alberda,Sr.,MB,5-11,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,14
Anna Oden,Sr.,MB,6-2,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,16
Gabrielle Stafford,So.,OH,5-7,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,9
Zoe West,Sr.,OH,5-10,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,8
Lilyen McCarthy,Sr.,MB,6-0,,,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,15
Autumn Moore,So.,L/DS,5-4,,Chain of Lake Collegiate HS,3,Adelphi University,899.0,Northeast-10 Conference,www.adelphi.edu,www.aupanthers.com,NY,D-II,2024-25,Adelphi,NE10,2
Caroline Moyer,Jr.,OH,5-10,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,3
Autumn Mayes,Sr.,OH,5-9,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,5
Kayla Ward,So.,MB,6-1,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,13
Grace-Blythe Cornett,Fr.,OH,6-1,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,28
Kelsey Gasaway,So.,S,5-8,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,4
Elizabeth Rayhle,Jr.,MH,6-0,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,21
Kaila Sisk,Jr.,MH,6-2,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,2
Mary Grace Bundrant,So.,MB,6-2,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,22
Ashleigh Murr,Sr.,S,5-7,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,14
Brooklyn Stiles,Fr.,DS,5-7,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,7
Haley Strawser,Fr.,DS,5-8,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,8
Anna Clare Hutto,Jr.,S,5-8,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,10
Ella Moore,Fr.,MB,6-1,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,24
Tatiana Bonilla,Sr.,DS,5-5,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,9
Emily Redman,Fr.,OH,5-10,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,1
Savannah Rutledge,Sr.,S,5-10,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,12
Calli Tanielu,So.,OH,5-9,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,23
Hailey Holshouser,Sr.,DS,5-7,,,10,University of Alabama in Huntsville,858.0,Gulf South Conference,uah.edu,uahchargers.com,AL,D-II,2024-25,Alabama Huntsville,Gulf South,11
